merged_group_id,final_zone_id,merge_gap_pixels,merge_gap_m,min_area_ha_threshold,passes_min_area,n_original_polygons,original_polygon_ids,original_pixel_count,merged_pixel_count,added_gap_pixel_count,original_area_ha,merged_area_ha,added_gap_area_ha
1,1,3,60,2,True,1,1,5037,5037,0,201.48,201.48,0.0
2,2,3,60,2,True,24,"2,3,4,5,7,9,10,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29",239762,258407,18645,9590.48,10336.28,745.8
3,3,3,60,2,True,1,6,1577,1887,310,63.08,75.48,12.4
4,,3,60,2,False,1,8,35,35,0,1.4,1.4,0.0
5,4,3,60,2,True,1,11,60,77,17,2.4,3.08,0.68
6,5,3,60,2,True,1,21,3566,3578,12,142.64,143.12,0.48
7,6,3,60,2,True,1,30,57,58,1,2.28,2.32,0.04
8,7,3,60,2,True,7,"31,32,33,34,36,38,39",393300,396064,2764,15732.0,15842.56,110.56
9,8,3,60,2,True,1,35,548,698,150,21.92,27.92,6.0
10,9,3,60,2,True,1,37,81,100,19,3.24,4.0,0.76
11,10,3,60,2,True,9,"40,41,42,43,44,45,46,48,50",139429,143852,4423,5577.16,5754.08,176.92
12,11,3,60,2,True,1,47,69,88,19,2.76,3.52,0.76
13,,3,60,2,False,1,49,38,46,8,1.52,1.84,0.32
14,12,3,60,2,True,5,"51,54,55,56,57",263266,267121,3855,10530.64,10684.84,154.2
15,,3,60,2,False,1,52,27,27,0,1.08,1.08,0.0
16,13,3,60,2,True,1,53,189,247,58,7.56,9.88,2.32
17,14,3,60,2,True,2,"58,59",612,819,207,24.48,32.76,8.28
18,15,3,60,2,True,1,60,179,281,102,7.16,11.24,4.08
19,16,3,60,2,True,2,"61,62",90,151,61,3.6,6.04,2.44
20,17,3,60,2,True,59,"63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,83,84,85,87,89,90,92,93,94,96,99,100,107,108,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,138,139,141",2409592,2443853,34261,96383.68,97754.12,1370.44
21,18,3,60,2,True,1,73,51,57,6,2.04,2.28,0.24
22,19,3,60,2,True,5,"81,88,91,95,97",972,1669,697,38.88,66.76,27.88
23,20,3,60,2,True,2,"82,86",1101,1375,274,44.04,55.0,10.96
24,21,3,60,2,True,1,98,74,92,18,2.96,3.68,0.72
25,22,3,60,2,True,7,"101,102,103,105,106,109,110",917,1718,801,36.68,68.72,32.04
26,23,3,60,2,True,2,"104,111",279,371,92,11.16,14.84,3.68
27,,3,60,2,False,1,137,39,39,0,1.56,1.56,0.0
28,,3,60,2,False,1,140,43,47,4,1.72,1.88,0.16
