zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,5031,2012400,201.24,33.114,33.127,33.114,33.114,4.118,7.996,6.607,6.634,28.861,28.978,28.978,28.978,18.567,18.567,18.567,18.567
2,184110,73644000,7364.4,33.099,33.123,33.113,33.113,5.312,8.0,7.392,7.448,28.978,29.096,29.069,29.096,2.972,10.766,6.264,6.367
3,1021,408400,40.84,33.099,33.099,33.099,33.099,7.003,7.999,7.675,7.704,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
4,119,47600,4.76,33.114,33.114,33.114,33.114,7.04,7.999,7.805,7.84,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
5,68,27200,2.72,33.099,33.114,33.102,33.099,7.177,7.995,7.814,7.851,28.978,29.066,29.048,29.066,4.295,6.419,4.732,4.295
6,140,56000,5.6,33.099,33.099,33.099,33.099,7.325,7.999,7.731,7.762,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
7,101,40400,4.04,33.113,33.113,33.113,33.113,7.464,8.0,7.817,7.822,29.096,29.096,29.096,29.096,4.12,4.12,4.12,4.12
8,117,46800,4.68,33.113,33.113,33.113,33.113,7.586,7.999,7.893,7.926,29.096,29.096,29.096,29.096,6.522,6.522,6.522,6.522
9,51,20400,2.04,33.113,33.113,33.113,33.113,7.609,7.999,7.904,7.929,29.096,29.096,29.096,29.096,2.972,4.12,3.67,4.12
10,50,20000,2.0,33.113,33.113,33.113,33.113,7.36,7.996,7.776,7.783,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
11,56,22400,2.24,33.113,33.113,33.113,33.113,6.727,7.991,7.689,7.802,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
12,512,204800,20.48,33.113,33.113,33.113,33.113,6.097,8.0,7.551,7.617,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
13,58,23200,2.32,33.113,33.113,33.113,33.113,6.831,7.992,7.538,7.568,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
14,84,33600,3.36,33.113,33.113,33.113,33.113,6.883,7.996,7.698,7.775,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
15,207,82800,8.28,33.113,33.113,33.113,33.113,7.461,8.0,7.762,7.751,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
16,50,20000,2.0,33.113,33.113,33.113,33.113,7.592,7.998,7.887,7.919,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
17,51,20400,2.04,33.113,33.113,33.113,33.113,7.248,7.995,7.634,7.681,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
18,95,38000,3.8,33.113,33.113,33.113,33.113,6.949,7.998,7.684,7.725,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
19,191,76400,7.64,33.113,33.113,33.113,33.113,6.357,7.996,7.454,7.534,29.096,29.096,29.096,29.096,6.367,6.367,6.367,6.367
20,74,29600,2.96,33.113,33.113,33.113,33.113,6.842,7.994,7.507,7.494,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
21,64,25600,2.56,33.113,33.113,33.113,33.113,7.299,7.996,7.747,7.796,29.096,29.096,29.096,29.096,4.261,6.367,4.689,4.261
22,77,30800,3.08,33.113,33.113,33.113,33.113,6.505,8.0,7.671,7.749,29.096,29.096,29.096,29.096,6.367,6.367,6.367,6.367
23,56,22400,2.24,33.113,33.113,33.113,33.113,7.445,7.983,7.791,7.815,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
24,93,37200,3.72,33.113,33.113,33.113,33.113,7.346,7.994,7.737,7.746,29.096,29.096,29.096,29.096,6.367,6.367,6.367,6.367
25,97,38800,3.88,33.113,33.113,33.113,33.113,6.183,7.998,7.601,7.753,29.096,29.096,29.096,29.096,6.367,6.367,6.367,6.367
26,344,137600,13.76,33.113,33.113,33.113,33.113,7.1,7.997,7.725,7.784,29.096,29.096,29.096,29.096,4.284,6.367,4.974,4.284
27,3376,1350400,135.04,33.123,33.125,33.125,33.125,4.005,7.999,6.864,7.069,28.762,28.956,28.956,28.956,18.34,18.34,18.34,18.34
28,70,28000,2.8,33.113,33.113,33.113,33.113,6.579,7.998,7.663,7.783,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
29,91,36400,3.64,33.113,33.113,33.113,33.113,7.12,7.996,7.639,7.675,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
30,244,97600,9.76,33.113,33.113,33.113,33.113,7.28,7.999,7.797,7.829,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
31,56,22400,2.24,33.113,33.113,33.113,33.113,6.221,8.0,7.631,7.749,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
32,55,22000,2.2,33.113,33.113,33.113,33.113,7.159,7.997,7.599,7.602,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
33,518,207200,20.72,33.113,33.113,33.113,33.113,6.343,7.999,7.661,7.742,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
34,1198,479200,47.92,33.113,33.113,33.113,33.113,6.841,8.0,7.752,7.789,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
35,77,30800,3.08,33.113,33.113,33.113,33.113,6.908,8.0,7.69,7.772,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
36,364609,145843600,14584.36,33.055,33.104,33.088,33.099,4.0,8.0,6.693,6.779,28.755,29.077,28.925,28.951,5.719,19.892,15.507,16.128
37,76,30400,3.04,33.104,33.104,33.104,33.104,6.714,7.983,7.675,7.714,29.077,29.077,29.077,29.077,9.106,14.336,10.482,9.106
38,50,20000,2.0,33.104,33.104,33.104,33.104,6.219,7.996,7.692,7.834,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
39,334,133600,13.36,33.104,33.104,33.104,33.104,5.332,7.998,7.099,7.511,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
40,65,26000,2.6,33.104,33.104,33.104,33.104,6.935,7.979,7.65,7.702,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
41,92,36800,3.68,33.104,33.104,33.104,33.104,6.838,7.997,7.691,7.771,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
42,52,20800,2.08,33.104,33.104,33.104,33.104,7.531,7.993,7.848,7.862,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
43,54,21600,2.16,33.104,33.104,33.104,33.104,5.771,7.976,7.376,7.592,29.077,29.077,29.077,29.077,6.463,9.106,7.491,6.463
44,51,20400,2.04,33.104,33.104,33.104,33.104,7.579,8.0,7.863,7.889,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
45,278,111200,11.12,33.104,33.104,33.104,33.104,5.609,7.988,6.88,6.728,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
46,68,27200,2.72,33.104,33.104,33.104,33.104,7.028,7.997,7.587,7.565,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
47,80,32000,3.2,33.104,33.104,33.104,33.104,6.604,7.99,7.585,7.662,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
48,157,62800,6.28,33.099,33.099,33.099,33.099,6.039,7.994,7.551,7.669,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
49,98572,39428800,3942.88,33.007,33.055,33.046,33.055,4.001,8.0,7.166,7.229,28.626,28.916,28.882,28.874,5.764,17.097,15.056,16.234
50,72,28800,2.88,33.055,33.055,33.055,33.055,6.365,7.998,7.28,7.196,28.874,28.874,28.874,28.874,10.106,10.106,10.106,10.106
51,272,108800,10.88,33.055,33.055,33.055,33.055,5.967,7.994,7.578,7.674,28.874,28.874,28.874,28.874,10.106,10.106,10.106,10.106
52,7380,2952000,295.2,33.007,33.055,33.033,33.055,5.135,8.0,7.404,7.501,28.874,28.916,28.894,28.874,5.764,10.106,9.252,9.87
53,129,51600,5.16,33.055,33.055,33.055,33.055,6.231,7.988,7.486,7.561,28.874,28.874,28.874,28.874,10.106,10.106,10.106,10.106
54,117,46800,4.68,33.055,33.055,33.055,33.055,6.452,7.998,7.618,7.67,28.874,28.874,28.874,28.874,10.106,10.106,10.106,10.106
55,75,30000,3.0,33.007,33.055,33.037,33.055,7.264,7.996,7.766,7.839,28.874,28.916,28.891,28.874,9.87,10.106,10.014,10.106
56,78,31200,3.12,33.007,33.055,33.017,33.007,7.228,7.999,7.708,7.764,28.874,28.916,28.908,28.916,9.87,10.106,9.915,9.87
57,1417,566800,56.68,33.007,33.007,33.007,33.007,6.173,8.0,7.576,7.699,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
58,130,52000,5.2,33.007,33.007,33.007,33.007,6.521,7.998,7.605,7.724,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
59,158,63200,6.32,33.007,33.007,33.007,33.007,5.333,7.998,7.288,7.435,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
60,62,24800,2.48,33.007,33.007,33.007,33.007,6.53,7.987,7.407,7.394,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
61,50,20000,2.0,33.007,33.007,33.007,33.007,6.399,7.991,7.499,7.531,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
62,72,28800,2.88,33.007,33.007,33.007,33.007,6.932,7.998,7.621,7.636,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
63,55,22000,2.2,33.007,33.007,33.007,33.007,6.381,7.998,7.6,7.685,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
64,125,50000,5.0,33.007,33.007,33.007,33.007,5.904,7.999,7.52,7.609,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
65,234,93600,9.36,33.007,33.007,33.007,33.007,6.439,7.995,7.369,7.399,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
66,79,31600,3.16,33.007,33.007,33.007,33.007,6.452,7.993,7.568,7.664,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
67,157,62800,6.28,33.007,33.007,33.007,33.007,4.671,7.999,7.436,7.569,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
68,50,20000,2.0,33.007,33.007,33.007,33.007,7.019,7.991,7.537,7.523,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
69,88,35200,3.52,33.007,33.007,33.007,33.007,6.675,7.991,7.487,7.501,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
70,212192,84876800,8487.68,32.989,33.009,33.001,33.007,4.0,8.0,6.507,6.67,28.694,28.974,28.772,28.786,8.562,19.045,15.145,14.461
71,94,37600,3.76,33.007,33.007,33.007,33.007,7.13,7.999,7.713,7.769,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
72,58,23200,2.32,33.007,33.007,33.007,33.007,6.713,7.97,7.398,7.428,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
73,104,41600,4.16,33.007,33.007,33.007,33.007,6.618,7.99,7.599,7.614,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
74,914,365600,36.56,33.007,33.007,33.007,33.007,6.49,7.997,7.377,7.359,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
75,119,47600,4.76,33.007,33.007,33.007,33.007,6.81,7.989,7.534,7.551,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
76,245,98000,9.8,33.007,33.007,33.007,33.007,6.35,7.995,7.263,7.252,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
77,255,102000,10.2,33.007,33.007,33.007,33.007,6.43,7.998,7.485,7.5,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
78,999,399600,39.96,32.996,33.007,33.004,33.007,4.813,7.998,7.235,7.311,28.916,28.974,28.933,28.916,8.562,11.921,11.08,11.921
79,83,33200,3.32,32.996,33.007,33.005,33.007,7.034,7.963,7.554,7.503,28.916,28.974,28.93,28.916,9.209,11.921,11.3,11.921
80,214,85600,8.56,32.996,32.996,32.996,32.996,5.331,7.998,7.423,7.52,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
81,4549,1819600,181.96,32.996,32.996,32.996,32.996,4.664,8.0,7.354,7.424,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
82,80,32000,3.2,32.996,32.996,32.996,32.996,6.506,7.994,7.604,7.696,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
83,73,29200,2.92,32.996,32.996,32.996,32.996,6.74,7.996,7.555,7.559,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
84,91,36400,3.64,32.996,32.996,32.996,32.996,6.212,7.996,7.45,7.555,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
85,214,85600,8.56,32.996,32.996,32.996,32.996,4.347,7.998,7.321,7.543,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
86,145,58000,5.8,32.996,32.996,32.996,32.996,4.474,7.986,7.334,7.493,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
87,58,23200,2.32,32.996,32.996,32.996,32.996,6.288,7.991,7.547,7.669,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
88,160,64000,6.4,32.996,32.996,32.996,32.996,6.175,7.999,7.3,7.389,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
89,55,22000,2.2,32.996,32.996,32.996,32.996,4.82,7.997,7.192,7.328,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
90,112,44800,4.48,32.996,32.996,32.996,32.996,5.765,7.999,7.492,7.605,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
91,777,310800,31.08,32.989,32.989,32.989,32.989,4.0,6.461,4.491,4.45,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
92,133,53200,5.32,32.989,32.989,32.989,32.989,4.001,6.46,4.604,4.399,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
93,82,32800,3.28,32.989,32.989,32.989,32.989,4.026,5.417,4.334,4.238,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
94,78,31200,3.12,32.989,32.989,32.989,32.989,4.0,5.546,4.44,4.393,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
95,2208665,883466000,88346.6,32.86,32.989,32.894,32.889,4.0,8.0,6.477,6.601,28.701,29.149,28.991,29.014,2.743,19.882,10.688,10.787
96,91,36400,3.64,32.96,32.96,32.96,32.96,6.9,7.986,7.49,7.455,28.947,28.947,28.947,28.947,7.836,7.836,7.836,7.836
97,6057,2422800,242.28,32.981,32.981,32.981,32.981,4.006,8.0,7.2,7.422,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
98,158,63200,6.32,32.981,32.981,32.981,32.981,7.196,7.999,7.721,7.755,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
99,167,66800,6.68,32.981,32.981,32.981,32.981,6.878,7.998,7.778,7.824,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
100,61,24400,2.44,32.96,32.981,32.978,32.981,5.784,7.986,7.301,7.466,28.947,29.06,29.041,29.06,5.221,6.637,5.453,5.221
101,69,27600,2.76,32.981,32.981,32.981,32.981,6.841,7.986,7.655,7.713,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
102,69,27600,2.76,32.981,32.981,32.981,32.981,6.691,7.965,7.416,7.451,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
103,153,61200,6.12,32.981,32.981,32.981,32.981,5.951,7.993,7.45,7.618,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
104,216,86400,8.64,32.96,32.981,32.967,32.96,6.455,7.998,7.655,7.703,28.947,29.06,28.982,28.947,5.221,6.637,6.198,6.637
105,114,45600,4.56,32.981,32.981,32.981,32.981,6.993,8.0,7.733,7.794,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
106,52,20800,2.08,32.981,32.981,32.981,32.981,6.92,7.999,7.687,7.762,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
107,68,27200,2.72,32.981,32.981,32.981,32.981,6.097,7.999,7.522,7.563,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
108,512,204800,20.48,32.981,32.981,32.981,32.981,5.072,7.998,7.544,7.708,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
109,769,307600,30.76,32.981,32.981,32.981,32.981,5.332,8.0,7.649,7.738,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
110,112,44800,4.48,32.981,32.981,32.981,32.981,7.044,7.998,7.794,7.83,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
111,79,31600,3.16,32.915,32.915,32.915,32.915,4.047,6.415,5.63,5.773,28.963,28.963,28.963,28.963,16.13,16.13,16.13,16.13
112,205,82000,8.2,32.915,32.915,32.915,32.915,4.0,7.01,4.496,4.369,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
113,61,24400,2.44,32.915,32.915,32.915,32.915,4.0,4.436,4.188,4.166,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
114,56,22400,2.24,32.915,32.915,32.915,32.915,4.004,4.218,4.102,4.078,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
115,51,20400,2.04,32.915,32.915,32.915,32.915,4.005,4.689,4.127,4.101,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
