zone_id,pixel_count,area_m2,area_ha
1,5037,2014800,201.48
2,236387,94554800,9455.48
3,116,46400,4.64
4,1577,630800,63.08
5,50,20000,2.0
6,197,78800,7.88
7,60,24000,2.4
8,102,40800,4.08
9,111,44400,4.44
10,142,56800,5.68
11,129,51600,5.16
12,57,22800,2.28
13,3566,1426400,142.64
14,56,22400,2.24
15,103,41200,4.12
16,2898,1159200,115.92
17,102,40800,4.08
18,50,20000,2.0
19,57,22800,2.28
20,393213,157285200,15728.52
21,145,58000,5.8
22,137,54800,5.48
23,556,222400,22.24
24,77,30800,3.08
25,81,32400,3.24
26,74,29600,2.96
27,51,20400,2.04
28,138931,55572400,5557.24
29,70,28000,2.8
30,78,31200,3.12
31,51,20400,2.04
32,69,27600,2.76
33,174,69600,6.96
34,263132,105252800,10525.28
35,189,75600,7.56
36,67,26800,2.68
37,770,308000,30.8
38,183,73200,7.32
39,82,32800,3.28
40,88,35200,3.52
41,2369143,947657200,94765.72
42,105,42000,4.2
43,660,264000,26.4
44,8943,3577200,357.72
45,51,20400,2.04
46,1175,470000,47.0
47,1087,434800,43.48
48,81,32400,3.24
49,51,20400,2.04
50,58,23200,2.32
51,172,68800,6.88
52,50,20000,2.0
53,360,144000,14.4
54,51,20400,2.04
55,590,236000,23.6
56,8485,3394000,339.4
57,1060,424000,42.4
58,459,183600,18.36
59,88,35200,3.52
60,127,50800,5.08
61,2279,911600,91.16
62,50,20000,2.0
63,78,31200,3.12
64,74,29600,2.96
65,56,22400,2.24
66,72,28800,2.88
67,93,37200,3.72
68,243,97200,9.72
69,89,35600,3.56
70,327,130800,13.08
71,381,152400,15.24
72,254,101600,10.16
73,132,52800,5.28
74,93,37200,3.72
75,183,73200,7.32
76,70,28000,2.8
77,51,20400,2.04
78,77,30800,3.08
79,104,41600,4.16
80,156,62400,6.24
81,110,44000,4.4
82,10866,4346400,434.64
83,2934,1173600,117.36
84,108,43200,4.32
85,413,165200,16.52
86,476,190400,19.04
