zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,5037,2014800,201.48,33.114,33.127,33.114,33.114,4.118,8.127,6.609,6.635,28.861,28.978,28.978,28.978,18.567,18.567,18.567,18.567
2,235230,94092000,9409.2,33.099,33.123,33.113,33.113,5.312,9.049,7.564,7.599,28.978,29.096,29.07,29.096,2.972,10.766,6.152,6.367
3,116,46400,4.64,33.099,33.099,33.099,33.099,7.253,8.649,7.957,7.941,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
4,27,10800,1.08,33.099,33.099,33.099,33.099,7.403,8.596,8.014,7.983,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
5,28,11200,1.12,33.099,33.099,33.099,33.099,7.363,8.572,7.922,7.858,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
6,1577,630800,63.08,33.099,33.099,33.099,33.099,7.003,8.495,7.776,7.791,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
7,50,20000,2.0,33.099,33.099,33.099,33.099,7.714,8.301,7.982,7.979,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
8,35,14000,1.4,33.099,33.099,33.099,33.099,7.243,8.505,7.849,7.898,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
9,44,17600,1.76,33.114,33.114,33.114,33.114,7.43,8.219,7.863,7.865,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
10,197,78800,7.88,33.114,33.114,33.114,33.114,7.04,8.51,7.913,7.925,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
11,60,24000,2.4,33.099,33.099,33.099,33.099,7.459,8.237,7.944,7.957,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
12,102,40800,4.08,33.099,33.114,33.101,33.099,7.177,8.376,7.888,7.916,28.978,29.066,29.053,29.066,4.295,6.419,4.607,4.295
13,111,44400,4.44,33.114,33.114,33.114,33.114,7.533,8.485,7.97,7.967,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
14,38,15200,1.52,33.099,33.114,33.112,33.114,7.634,8.206,7.974,7.971,28.978,29.066,28.99,28.978,4.295,6.419,6.139,6.419
15,32,12800,1.28,33.114,33.114,33.114,33.114,7.579,7.995,7.859,7.897,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
16,123,49200,4.92,33.113,33.113,33.113,33.113,7.464,8.348,7.871,7.883,29.096,29.096,29.096,29.096,4.12,4.12,4.12,4.12
17,129,51600,5.16,33.113,33.113,33.113,33.113,7.113,8.664,7.924,7.952,29.096,29.096,29.096,29.096,2.972,4.261,3.608,2.972
18,125,50000,5.0,33.113,33.113,33.113,33.113,6.965,8.717,8.008,7.984,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
19,27,10800,1.08,33.113,33.113,33.113,33.113,6.926,8.057,7.605,7.646,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
20,57,22800,2.28,33.113,33.113,33.113,33.113,7.257,8.508,7.951,7.942,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
21,3566,1426400,142.64,33.123,33.125,33.125,33.125,3.708,8.488,6.919,7.116,28.762,28.956,28.956,28.956,18.34,18.34,18.34,18.34
22,56,22400,2.24,33.113,33.113,33.113,33.113,6.39,8.632,7.613,7.641,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
23,46,18400,1.84,33.113,33.113,33.113,33.113,7.428,8.31,7.863,7.886,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
24,103,41200,4.12,33.113,33.113,33.113,33.113,7.159,8.406,7.771,7.795,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
25,2898,1159200,115.92,33.113,33.113,33.113,33.113,6.343,8.733,7.869,7.886,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
26,102,40800,4.08,33.113,33.113,33.113,33.113,7.131,8.603,7.91,7.918,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
27,45,18000,1.8,33.113,33.113,33.113,33.113,7.696,8.485,8.064,8.031,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
28,26,10400,1.04,33.113,33.113,33.113,33.113,7.218,8.566,8.012,8.006,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
29,50,20000,2.0,33.113,33.113,33.113,33.113,7.345,8.514,7.897,7.882,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
30,57,22800,2.28,33.113,33.113,33.113,33.113,7.758,8.553,8.053,8.015,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
31,392782,157112800,15711.28,33.055,33.104,33.089,33.099,2.611,9.341,6.778,6.849,28.755,29.077,28.929,28.951,5.719,19.892,15.248,15.064
32,145,58000,5.8,33.104,33.104,33.104,33.104,6.714,8.685,7.838,7.852,29.077,29.077,29.077,29.077,9.106,14.336,10.729,9.106
33,34,13600,1.36,33.104,33.104,33.104,33.104,7.052,8.095,7.737,7.795,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
34,137,54800,5.48,33.104,33.104,33.104,33.104,6.219,8.336,7.92,7.967,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
35,548,219200,21.92,33.104,33.104,33.104,33.104,5.332,8.945,7.424,7.717,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
36,77,30800,3.08,33.104,33.104,33.104,33.104,7.429,8.844,7.932,7.934,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
37,81,32400,3.24,33.104,33.104,33.104,33.104,5.771,8.409,7.486,7.588,29.077,29.077,29.077,29.077,6.463,9.106,7.214,6.463
38,74,29600,2.96,33.104,33.104,33.104,33.104,7.028,8.243,7.633,7.63,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
39,51,20400,2.04,33.099,33.099,33.099,33.099,7.159,8.277,7.774,7.747,28.951,28.951,28.951,28.951,7.804,7.804,7.804,7.804
40,138931,55572400,5557.24,33.007,33.055,33.042,33.055,3.438,9.33,7.44,7.422,28.626,28.916,28.886,28.874,5.764,17.097,13.828,16.234
41,28,11200,1.12,33.055,33.055,33.055,33.055,6.77,8.338,7.403,7.3,28.874,28.874,28.874,28.874,16.234,16.234,16.234,16.234
42,70,28000,2.8,33.007,33.007,33.007,33.007,6.355,8.878,7.732,7.734,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
43,78,31200,3.12,33.007,33.007,33.007,33.007,6.53,8.535,7.579,7.621,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
44,31,12400,1.24,33.007,33.007,33.007,33.007,6.932,8.528,7.708,7.75,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
45,51,20400,2.04,33.007,33.007,33.007,33.007,6.769,8.749,7.536,7.591,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
46,25,10000,1.0,33.007,33.007,33.007,33.007,7.54,8.517,8.008,7.976,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
47,69,27600,2.76,33.007,33.007,33.007,33.007,7.093,8.462,7.856,7.894,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
48,174,69600,6.96,33.007,33.007,33.007,33.007,6.675,9.015,7.861,7.778,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
49,38,15200,1.52,33.007,33.007,33.007,33.007,6.649,8.739,7.765,7.723,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
50,41,16400,1.64,33.007,33.007,33.007,33.007,7.301,8.871,7.923,7.886,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
51,263083,105233200,10523.32,32.989,33.009,33.001,33.007,2.59,9.36,6.775,6.861,28.694,28.974,28.797,28.786,8.562,19.045,14.465,14.461
52,27,10800,1.08,33.007,33.007,33.007,33.007,7.646,8.692,7.957,7.941,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
53,189,75600,7.56,33.007,33.007,33.007,33.007,7.036,8.953,7.933,7.894,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
54,67,26800,2.68,33.007,33.007,33.007,33.007,6.713,9.145,7.531,7.514,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
55,27,10800,1.08,33.007,33.007,33.007,33.007,7.19,8.573,7.875,7.854,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
56,41,16400,1.64,33.007,33.007,33.007,33.007,7.065,8.758,7.661,7.605,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
57,48,19200,1.92,32.996,32.996,32.996,32.996,6.896,8.772,7.726,7.749,28.974,28.974,28.974,28.974,9.209,9.209,9.209,9.209
58,315,126000,12.6,32.989,32.989,32.989,32.989,3.211,6.461,4.353,4.331,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
59,297,118800,11.88,32.989,32.989,32.989,32.989,3.691,5.485,4.478,4.451,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
60,179,71600,7.16,32.989,32.989,32.989,32.989,2.81,6.46,4.41,4.282,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
61,58,23200,2.32,32.989,32.989,32.989,32.989,3.429,5.417,4.212,4.125,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
