merged_group_id,final_zone_id,merge_gap_pixels,merge_gap_m,min_area_ha_threshold,passes_min_area,n_original_polygons,original_polygon_ids,original_pixel_count,merged_pixel_count,added_gap_pixel_count,original_area_ha,merged_area_ha,added_gap_area_ha
1,1,3,60,2,True,2,"1,2",190,263,73,7.6,10.52,2.92
2,2,3,60,2,True,1,3,54,54,0,2.16,2.16,0.0
3,3,3,60,2,True,2,"4,5",193,229,36,7.72,9.16,1.44
4,4,3,60,2,True,2,"6,7",147,209,62,5.88,8.36,2.48
5,5,3,60,2,True,1,8,127,153,26,5.08,6.12,1.04
6,6,3,60,2,True,1,9,102,175,73,4.08,7.0,2.92
7,,3,60,2,False,1,10,44,44,0,1.76,1.76,0.0
8,,3,60,2,False,1,11,31,42,11,1.24,1.68,0.44
9,7,3,60,2,True,1,12,68,89,21,2.72,3.56,0.84
10,8,3,60,2,True,1,13,88,121,33,3.52,4.84,1.32
11,,3,60,2,False,1,14,33,33,0,1.32,1.32,0.0
12,,3,60,2,False,1,15,40,40,0,1.6,1.6,0.0
13,9,3,60,2,True,3,"16,17,19",523,727,204,20.92,29.08,8.16
14,,3,60,2,False,1,18,26,26,0,1.04,1.04,0.0
15,10,3,60,2,True,1,20,63,79,16,2.52,3.16,0.64
16,11,3,60,2,True,4,"21,22,24,25",561,947,386,22.44,37.88,15.44
17,,3,60,2,False,1,23,33,33,0,1.32,1.32,0.0
18,,3,60,2,False,1,26,27,35,8,1.08,1.4,0.32
19,12,3,60,2,True,1,27,50,57,7,2.0,2.28,0.28
20,13,3,60,2,True,1,28,56,69,13,2.24,2.76,0.52
21,,3,60,2,False,1,29,27,35,8,1.08,1.4,0.32
22,14,3,60,2,True,1,30,50,54,4,2.0,2.16,0.16
23,15,3,60,2,True,2,"31,32",251,389,138,10.04,15.56,5.52
24,,3,60,2,False,1,33,28,28,0,1.12,1.12,0.0
25,16,3,60,2,True,28,"34,35,38,40,41,42,43,44,49,51,60,62,69,71,72,75,77,78,79,82,87,88,91,92,94,96,97,98",35399,45239,9840,1415.96,1809.56,393.6
26,,3,60,2,False,1,36,27,27,0,1.08,1.08,0.0
27,,3,60,2,False,1,37,32,32,0,1.28,1.28,0.0
28,,3,60,2,False,1,39,34,43,9,1.36,1.72,0.36
29,17,3,60,2,True,1,45,35,53,18,1.4,2.12,0.72
30,,3,60,2,False,1,46,28,47,19,1.12,1.88,0.76
31,,3,60,2,False,1,47,30,33,3,1.2,1.32,0.12
32,,3,60,2,False,1,48,28,35,7,1.12,1.4,0.28
33,,3,60,2,False,1,50,31,32,1,1.24,1.28,0.04
34,18,3,60,2,True,6,"52,53,54,55,56,68",1040,2001,961,41.6,80.04,38.44
35,,3,60,2,False,1,57,26,29,3,1.04,1.16,0.12
36,19,3,60,2,True,2,"58,65",890,1205,315,35.6,48.2,12.6
37,20,3,60,2,True,2,"59,61",120,171,51,4.8,6.84,2.04
38,21,3,60,2,True,1,63,132,190,58,5.28,7.6,2.32
39,22,3,60,2,True,1,64,72,110,38,2.88,4.4,1.52
40,,3,60,2,False,1,66,25,25,0,1.0,1.0,0.0
41,23,3,60,2,True,2,"67,76",730,918,188,29.2,36.72,7.52
42,,3,60,2,False,1,70,28,31,3,1.12,1.24,0.12
43,24,3,60,2,True,1,73,75,95,20,3.0,3.8,0.8
44,25,3,60,2,True,1,74,94,125,31,3.76,5.0,1.24
45,26,3,60,2,True,1,80,53,70,17,2.12,2.8,0.68
46,27,3,60,2,True,3,"81,85,86",291,396,105,11.64,15.84,4.2
47,28,3,60,2,True,2,"83,84",61,87,26,2.44,3.48,1.04
48,29,3,60,2,True,1,89,130,145,15,5.2,5.8,0.6
49,,3,60,2,False,1,90,30,35,5,1.2,1.4,0.2
50,30,3,60,2,True,1,93,90,116,26,3.6,4.64,1.04
51,,3,60,2,False,1,95,31,31,0,1.24,1.24,0.0
52,31,3,60,2,True,2,"99,101",102,120,18,4.08,4.8,0.72
53,32,3,60,2,True,3,"100,103,107",283,501,218,11.32,20.04,8.72
54,33,3,60,2,True,1,102,81,81,0,3.24,3.24,0.0
