zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,83,33200,3.32,33.099,33.099,33.099,33.099,7.4,7.997,7.754,7.769,29.066,29.066,29.066,29.066,4.725,4.725,4.725,4.725
2,95,38000,3.8,33.099,33.099,33.099,33.099,6.919,7.996,7.546,7.576,29.066,29.066,29.066,29.066,6.706,6.706,6.706,6.706
3,59,23600,2.36,33.114,33.114,33.114,33.114,7.133,8.0,7.654,7.671,28.978,28.978,28.978,28.978,10.766,10.766,10.766,10.766
4,59,23600,2.36,33.114,33.114,33.114,33.114,7.269,7.959,7.63,7.608,28.978,28.978,28.978,28.978,10.766,10.766,10.766,10.766
5,94,37600,3.76,33.127,33.127,33.127,33.127,6.244,7.961,7.355,7.391,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
6,65,26000,2.6,33.125,33.125,33.125,33.125,6.891,7.967,7.43,7.433,28.956,28.956,28.956,28.956,19.696,19.696,19.696,19.696
7,317,126800,12.68,33.125,33.125,33.125,33.125,5.77,7.996,7.03,7.042,28.956,28.956,28.956,28.956,19.696,19.696,19.696,19.696
8,75,30000,3.0,33.125,33.125,33.125,33.125,5.898,7.99,7.183,7.232,28.956,28.956,28.956,28.956,19.696,19.696,19.696,19.696
9,19544,7817600,781.76,33.099,33.099,33.099,33.099,4.004,8.0,6.722,6.803,28.951,28.951,28.951,28.951,13.535,19.773,19.61,19.773
10,109,43600,4.36,33.099,33.099,33.099,33.099,6.498,7.986,7.547,7.641,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
11,1436,574400,57.44,33.099,33.099,33.099,33.099,5.141,8.0,7.207,7.411,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
12,185,74000,7.4,33.099,33.099,33.099,33.099,5.535,7.993,7.153,7.155,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
13,136,54400,5.44,33.099,33.099,33.099,33.099,5.817,7.999,7.489,7.543,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
14,125,50000,5.0,33.099,33.099,33.099,33.099,5.868,7.981,7.172,7.169,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
15,205,82000,8.2,33.099,33.099,33.099,33.099,6.87,7.994,7.475,7.481,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
16,155,62000,6.2,33.099,33.099,33.099,33.099,6.092,8.0,7.548,7.638,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
17,239,95600,9.56,33.099,33.099,33.099,33.099,5.648,7.997,7.292,7.49,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
18,105,42000,4.2,33.099,33.099,33.099,33.099,5.565,7.971,7.218,7.474,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
19,88,35200,3.52,33.099,33.099,33.099,33.099,5.337,7.912,6.694,6.574,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
20,111,44400,4.44,33.099,33.099,33.099,33.099,5.536,7.999,7.331,7.523,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
21,418,167200,16.72,33.099,33.099,33.099,33.099,5.159,7.975,6.814,6.952,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
22,90,36000,3.6,33.099,33.099,33.099,33.099,6.072,7.999,7.447,7.583,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
23,317,126800,12.68,33.099,33.099,33.099,33.099,5.44,7.999,7.044,7.101,28.951,28.951,28.951,28.951,11.639,19.773,19.389,19.773
24,273,109200,10.92,33.099,33.099,33.099,33.099,4.967,7.985,7.03,7.289,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
25,243,97200,9.72,33.099,33.099,33.099,33.099,5.329,7.974,6.936,6.961,28.951,28.951,28.951,28.951,11.639,19.773,17.163,19.773
26,55,22000,2.2,33.08,33.08,33.08,33.08,4.893,7.898,6.845,6.988,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
27,179,71600,7.16,33.08,33.08,33.08,33.08,5.647,8.0,7.266,7.39,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
28,77,30800,3.08,33.099,33.099,33.099,33.099,5.674,7.945,6.969,6.993,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
29,119,47600,4.76,33.08,33.08,33.08,33.08,6.324,7.985,7.386,7.419,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
30,86,34400,3.44,33.099,33.099,33.099,33.099,5.802,7.965,7.024,6.998,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
31,145,58000,5.8,33.099,33.099,33.099,33.099,5.42,7.994,6.939,7.047,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
32,333,133200,13.32,33.08,33.08,33.08,33.08,5.271,7.998,7.232,7.366,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
33,54,21600,2.16,33.099,33.099,33.099,33.099,6.2,7.98,7.307,7.457,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
34,71,28400,2.84,33.08,33.08,33.08,33.08,5.661,7.997,7.374,7.503,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
35,708,283200,28.32,33.099,33.099,33.099,33.099,5.305,7.999,7.109,7.353,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
36,66,26400,2.64,33.08,33.08,33.08,33.08,5.607,7.992,7.302,7.409,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
37,50,20000,2.0,33.08,33.08,33.08,33.08,7.108,7.983,7.586,7.577,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
38,68,27200,2.72,33.099,33.099,33.099,33.099,6.283,7.952,7.555,7.665,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
39,54,21600,2.16,33.099,33.099,33.099,33.099,5.956,7.963,7.373,7.508,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
40,359,143600,14.36,33.08,33.08,33.08,33.08,6.14,7.998,7.398,7.44,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
41,122,48800,4.88,33.099,33.099,33.099,33.099,5.651,7.98,7.376,7.486,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
42,125,50000,5.0,33.099,33.099,33.099,33.099,5.594,7.988,7.255,7.539,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
43,132,52800,5.28,33.099,33.099,33.099,33.099,5.326,7.932,6.947,7.251,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
44,72,28800,2.88,33.099,33.099,33.099,33.099,5.625,7.994,6.933,7.087,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
45,74,29600,2.96,33.099,33.099,33.099,33.099,5.215,7.969,6.484,6.291,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
46,58,23200,2.32,33.099,33.099,33.099,33.099,6.578,7.96,7.436,7.495,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
47,91,36400,3.64,33.099,33.099,33.099,33.099,6.709,7.989,7.524,7.537,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
48,91,36400,3.64,33.099,33.099,33.099,33.099,6.313,8.0,7.611,7.68,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
