zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,241,96400,9.64,33.114,33.114,33.114,33.114,6.235,16.18,10.01,10.051,28.978,28.978,28.978,28.978,18.567,18.567,18.567,18.567
2,102,40800,4.08,33.099,33.099,33.099,33.099,7.638,14.915,9.939,8.959,29.066,29.066,29.066,29.066,4.725,4.725,4.725,4.725
3,508,203200,20.32,33.099,33.099,33.099,33.099,7.374,13.396,8.539,8.263,29.066,29.066,29.066,29.066,4.725,4.725,4.725,4.725
4,224,89600,8.96,33.099,33.099,33.099,33.099,6.919,13.813,9.004,8.498,29.066,29.066,29.066,29.066,6.706,6.706,6.706,6.706
5,332,132800,13.28,33.099,33.099,33.099,33.099,6.919,12.514,8.224,8.044,29.066,29.066,29.066,29.066,6.706,6.706,6.706,6.706
6,257,102800,10.28,33.114,33.114,33.114,33.114,7.133,11.936,8.217,7.986,28.978,28.978,28.978,28.978,10.766,10.766,10.766,10.766
7,313,125200,12.52,33.127,33.127,33.127,33.127,6.244,16.399,8.92,8.324,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
8,343,137200,13.72,33.127,33.127,33.127,33.127,6.721,16.923,10.424,10.384,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
9,228,91200,9.12,33.127,33.127,33.127,33.127,6.504,18.019,9.119,8.316,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
10,65,26000,2.6,33.114,33.114,33.114,33.114,7.388,10.572,8.389,8.082,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
11,239,95600,9.56,33.127,33.127,33.127,33.127,6.504,12.885,9.137,8.529,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
12,333,133200,13.32,33.127,33.127,33.127,33.127,6.219,15.588,9.358,9.116,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
13,180,72000,7.2,33.127,33.127,33.127,33.127,6.662,15.229,9.32,8.723,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
14,1055,422000,42.2,33.125,33.125,33.125,33.125,5.402,20.683,8.81,8.242,28.956,28.956,28.956,28.956,19.696,19.696,19.696,19.696
15,1893,757200,75.72,33.125,33.125,33.125,33.125,5.898,18.205,9.216,8.892,28.956,28.956,28.956,28.956,19.696,19.696,19.696,19.696
16,139,55600,5.56,33.125,33.125,33.125,33.125,5.912,13.72,9.022,8.292,28.956,28.956,28.956,28.956,19.696,19.696,19.696,19.696
17,103,41200,4.12,33.113,33.113,33.113,33.113,7.743,9.604,8.499,8.485,29.096,29.096,29.096,29.096,4.12,4.12,4.12,4.12
18,80,32000,3.2,33.125,33.125,33.125,33.125,6.104,10.741,8.039,7.769,28.956,28.956,28.956,28.956,15.974,15.974,15.974,15.974
19,101,40400,4.04,33.125,33.125,33.125,33.125,5.81,14.579,9.881,9.274,28.956,28.956,28.956,28.956,18.34,18.34,18.34,18.34
20,150,60000,6.0,33.125,33.125,33.125,33.125,5.953,12.335,8.469,8.241,28.956,28.956,28.956,28.956,18.34,18.34,18.34,18.34
21,608,243200,24.32,33.104,33.104,33.104,33.104,5.436,17.603,9.732,9.349,29.077,29.077,29.077,29.077,14.336,14.336,14.336,14.336
22,104,41600,4.16,33.104,33.104,33.104,33.104,5.563,15.606,9.098,8.753,29.077,29.077,29.077,29.077,14.336,14.336,14.336,14.336
23,99,39600,3.96,33.104,33.104,33.104,33.104,7.599,18.59,11.409,10.934,29.077,29.077,29.077,29.077,14.336,14.336,14.336,14.336
24,85,34000,3.4,33.104,33.104,33.104,33.104,7.275,14.009,9.537,9.11,29.077,29.077,29.077,29.077,14.336,14.336,14.336,14.336
25,99,39600,3.96,33.104,33.104,33.104,33.104,7.317,13.673,8.856,8.64,29.077,29.077,29.077,29.077,14.336,14.336,14.336,14.336
26,121,48400,4.84,33.104,33.104,33.104,33.104,7.482,13.0,9.455,9.387,29.077,29.077,29.077,29.077,14.336,14.336,14.336,14.336
27,65744,26297600,2629.76,33.099,33.099,33.099,33.099,3.386,18.99,8.54,8.204,28.951,28.951,28.951,28.951,11.639,19.773,16.847,19.773
28,103,41200,4.12,33.099,33.099,33.099,33.099,7.396,12.389,8.988,8.887,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
29,62,24800,2.48,33.099,33.099,33.099,33.099,7.692,13.07,9.206,9.012,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
30,250,100000,10.0,33.099,33.099,33.099,33.099,7.184,13.905,9.433,9.103,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
31,103,41200,4.12,33.099,33.099,33.099,33.099,7.171,13.299,9.024,8.967,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
32,75,30000,3.0,33.099,33.099,33.099,33.099,7.344,13.75,9.033,8.381,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
33,209,83600,8.36,33.099,33.099,33.099,33.099,6.865,14.097,9.098,9.012,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
34,89,35600,3.56,33.099,33.099,33.099,33.099,7.419,13.472,9.685,9.641,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
35,55,22000,2.2,33.099,33.099,33.099,33.099,6.908,13.248,8.525,8.25,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
36,127,50800,5.08,33.099,33.099,33.099,33.099,7.372,12.966,9.591,9.295,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
