zone_id,pixel_count,area_m2,area_ha
1,70,28000,2.8
2,120,48000,4.8
3,54,21600,2.16
4,71,28400,2.84
5,122,48800,4.88
6,71,28400,2.84
7,76,30400,3.04
8,127,50800,5.08
9,108,43200,4.32
10,68,27200,2.72
11,88,35200,3.52
12,74,29600,2.96
13,397,158800,15.88
14,52,20800,2.08
15,63,25200,2.52
16,96,38400,3.84
17,58,23200,2.32
18,263,105200,10.52
19,144,57600,5.76
20,50,20000,2.0
21,56,22400,2.24
22,50,20000,2.0
23,195,78000,7.8
24,56,22400,2.24
25,25914,10365600,1036.56
26,180,72000,7.2
27,3395,1358000,135.8
28,63,25200,2.52
29,87,34800,3.48
30,1744,697600,69.76
31,63,25200,2.52
32,343,137200,13.72
33,77,30800,3.08
34,455,182000,18.2
35,328,131200,13.12
36,88,35200,3.52
37,86,34400,3.44
38,286,114400,11.44
39,133,53200,5.32
40,80,32000,3.2
41,731,292400,29.24
42,197,78800,7.88
43,80,32000,3.2
44,64,25600,2.56
45,2230,892000,89.2
46,75,30000,3.0
47,94,37600,3.76
48,173,69200,6.92
49,567,226800,22.68
50,190,76000,7.6
51,109,43600,4.36
52,83,33200,3.32
53,53,21200,2.12
54,112,44800,4.48
55,143,57200,5.72
56,589,235600,23.56
57,147,58800,5.88
58,134,53600,5.36
59,59,23600,2.36
60,90,36000,3.6
61,225,90000,9.0
62,191,76400,7.64
63,158,63200,6.32
64,98,39200,3.92
65,76,30400,3.04
66,81,32400,3.24
67,214,85600,8.56
68,100,40000,4.0
69,144,57600,5.76
70,50,20000,2.0
71,130,52000,5.2
72,178,71200,7.12
73,53,21200,2.12
74,58,23200,2.32
75,76,30400,3.04
76,70,28000,2.8
77,74,29600,2.96
78,66,26400,2.64
79,117,46800,4.68
80,165,66000,6.6
81,63,25200,2.52
82,67,26800,2.68
83,127,50800,5.08
84,124,49600,4.96
85,131,52400,5.24
86,698,279200,27.92
87,104,41600,4.16
88,115,46000,4.6
89,70,28000,2.8
90,1578,631200,63.12
91,105,42000,4.2
92,137,54800,5.48
93,79,31600,3.16
94,121,48400,4.84
95,90,36000,3.6
96,802,320800,32.08
97,358,143200,14.32
98,142,56800,5.68
99,111,44400,4.44
100,70,28000,2.8
101,60,24000,2.4
102,1316,526400,52.64
103,68,27200,2.72
104,320,128000,12.8
105,186,74400,7.44
106,138,55200,5.52
107,124,49600,4.96
108,61,24400,2.44
109,201,80400,8.04
110,107,42800,4.28
111,1077,430800,43.08
112,60,24000,2.4
113,53,21200,2.12
114,182576,73030400,7303.04
115,367,146800,14.68
116,167,66800,6.68
117,198,79200,7.92
118,81,32400,3.24
119,773,309200,30.92
120,309,123600,12.36
121,142,56800,5.68
122,82,32800,3.28
123,211,84400,8.44
124,57,22800,2.28
125,106,42400,4.24
126,116,46400,4.64
127,467,186800,18.68
128,2691,1076400,107.64
129,738,295200,29.52
130,97,38800,3.88
131,82,32800,3.28
132,66,26400,2.64
133,88,35200,3.52
134,445,178000,17.8
135,58,23200,2.32
136,700,280000,28.0
137,53,21200,2.12
138,118,47200,4.72
139,308,123200,12.32
140,88,35200,3.52
141,95,38000,3.8
142,307,122800,12.28
143,63,25200,2.52
144,281,112400,11.24
145,1307,522800,52.28
146,57,22800,2.28
147,251,100400,10.04
148,64,25600,2.56
149,183,73200,7.32
150,280,112000,11.2
151,226,90400,9.04
152,316,126400,12.64
153,230,92000,9.2
154,112,44800,4.48
155,63,25200,2.52
156,85,34000,3.4
157,184,73600,7.36
158,63,25200,2.52
159,194,77600,7.76
160,59,23600,2.36
161,79,31600,3.16
162,74,29600,2.96
163,327,130800,13.08
164,109,43600,4.36
165,173,69200,6.92
166,220,88000,8.8
167,71,28400,2.84
168,78,31200,3.12
169,74,29600,2.96
170,52,20800,2.08
171,349,139600,13.96
172,98,39200,3.92
173,99,39600,3.96
174,181,72400,7.24
175,51,20400,2.04
176,52,20800,2.08
177,1477,590800,59.08
178,61,24400,2.44
179,56,22400,2.24
