zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,70,28000,2.8,33.099,33.099,33.099,33.099,7.374,8.636,7.915,7.883,29.066,29.066,29.066,29.066,4.725,4.725,4.725,4.725
2,120,48000,4.8,33.099,33.099,33.099,33.099,7.4,8.674,7.877,7.861,29.066,29.066,29.066,29.066,4.725,4.725,4.725,4.725
3,54,21600,2.16,33.099,33.099,33.099,33.099,7.34,10.284,8.107,7.841,29.066,29.066,29.066,29.066,6.706,6.706,6.706,6.706
4,71,28400,2.84,33.099,33.099,33.099,33.099,7.15,8.936,7.869,7.822,29.066,29.066,29.066,29.066,6.706,6.706,6.706,6.706
5,122,48800,4.88,33.099,33.099,33.099,33.099,6.919,10.01,7.719,7.648,29.066,29.066,29.066,29.066,6.706,6.706,6.706,6.706
6,71,28400,2.84,33.114,33.114,33.114,33.114,7.133,8.724,7.763,7.715,28.978,28.978,28.978,28.978,10.766,10.766,10.766,10.766
7,76,30400,3.04,33.114,33.114,33.114,33.114,7.269,8.955,7.732,7.665,28.978,28.978,28.978,28.978,10.766,10.766,10.766,10.766
8,127,50800,5.08,33.127,33.127,33.127,33.127,6.244,11.214,7.648,7.543,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
9,102,40800,4.08,33.127,33.127,33.127,33.127,6.568,12.396,7.71,7.531,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
10,44,17600,1.76,33.114,33.114,33.114,33.114,7.547,10.207,7.947,7.824,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
11,31,12400,1.24,33.114,33.114,33.114,33.114,7.388,9.013,7.914,7.853,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
12,68,27200,2.72,33.127,33.127,33.127,33.127,7.069,8.734,7.796,7.805,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
13,88,35200,3.52,33.127,33.127,33.127,33.127,6.219,11.074,7.635,7.304,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
14,33,13200,1.32,33.127,33.127,33.127,33.127,6.662,9.821,7.843,7.846,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
15,40,16000,1.6,33.127,33.127,33.127,33.127,6.75,11.087,8.066,7.75,28.861,28.861,28.861,28.861,19.635,19.635,19.635,19.635
