frequency,depth,salinity,temp,sediment,count_pixels,year,freq_file,depth_file
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,1376,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,4266,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,22,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,no data avail,112,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,out of range,80158,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,672,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,no data avail,no data avail,6,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,no data avail,out of range,1511,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,27.5 - 28.0,no data avail,1294,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,2523,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,2939,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,5.0 - 10.0,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,no data avail,5562,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,out of range,88382,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,29.0 - 29.5,5.0 - 10.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,no data avail,no data avail,128,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,no data avail,out of range,6654,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,no data avail,no data avail,no data avail,1938,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,no data avail,no data avail,out of range,19847,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,2865,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,6690,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
