frequency,depth,salinity,temp,sediment,count_pixels,year,freq_file,depth_file
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,77,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,1077,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,no data avail,104,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,out of range,41605,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,99,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,no data avail,no data avail,215,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,no data avail,out of range,12947,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,27.5 - 28.0,no data avail,574,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,668,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,261,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,no data avail,105,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,out of range,26682,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,no data avail,no data avail,31,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,no data avail,out of range,1501,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,no data avail,no data avail,no data avail,1556,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,no data avail,no data avail,out of range,18253,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,158,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,2204,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,no data avail,48,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,out of range,50712,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
