scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
noCheck4factor;1;731;292400;29.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;6.847;8.362;7.612;7.616;29.066;29.066;29.066;29.066;4.295;4.295;4.295;4.295
noCheck4factor;2;13125;5250000;525.0;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.114;33.103;33.099;5.811;8.698;7.832;7.87;28.978;29.066;29.042;29.066;4.295;6.419;4.877;4.295
noCheck4factor;3;270;108000;10.8;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.114;33.114;33.114;7.233;8.568;7.884;7.876;28.978;29.096;28.994;28.978;4.12;6.419;6.104;6.419
noCheck4factor;4;31024;12409600;1240.96;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;5.179;9.211;7.687;7.726;29.096;29.096;29.096;29.096;4.12;6.522;5.73;6.522
noCheck4factor;5;86;34400;3.44;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.11;8.24;7.701;7.689;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;6;12041;4816400;481.64;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.123;33.119;33.123;5.699;8.835;7.578;7.55;29.046;29.096;29.062;29.046;6.367;9.83;8.694;9.83
noCheck4factor;7;244;97600;9.76;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.361;8.205;7.401;7.465;29.096;29.096;29.096;29.096;4.261;4.261;4.261;4.261
noCheck4factor;8;164;65600;6.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;5.644;8.851;7.705;7.713;29.096;29.096;29.096;29.096;6.367;6.367;6.367;6.367
noCheck4factor;9;223;89200;8.92;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.967;8.545;7.785;7.795;29.096;29.096;29.096;29.096;4.261;6.367;5.914;6.367
noCheck4factor;10;132;52800;5.28;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;5.929;8.672;7.599;7.699;29.096;29.096;29.096;29.096;6.367;6.367;6.367;6.367
noCheck4factor;11;9692;3876800;387.68;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.123;33.119;33.123;5.302;8.942;7.448;7.489;29.046;29.096;29.064;29.046;4.284;9.83;4.996;5.215
noCheck4factor;12;704;281600;28.16;factor_suitability_2025_Depth_10m_2025_highest.tif;33.123;33.123;33.123;33.123;5.69;8.761;7.77;7.797;29.046;29.046;29.046;29.046;5.215;9.83;7.326;5.215
noCheck4factor;13;12007;4802800;480.28;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;5.528;9.083;7.942;7.987;29.096;29.096;29.096;29.096;4.284;6.367;4.304;4.284
noCheck4factor;14;691;276400;27.64;factor_suitability_2025_Depth_10m_2025_highest.tif;33.104;33.104;33.104;33.104;3.478;7.749;6.01;5.967;29.077;29.077;29.077;29.077;14.336;14.336;14.336;14.336
noCheck4factor;15;59;23600;2.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.104;33.104;33.104;33.104;5.548;7.319;6.777;6.893;29.077;29.077;29.077;29.077;14.336;14.336;14.336;14.336
noCheck4factor;16;220;88000;8.8;factor_suitability_2025_Depth_10m_2025_highest.tif;33.104;33.104;33.104;33.104;5.738;7.689;6.79;6.885;29.077;29.077;29.077;29.077;14.336;14.336;14.336;14.336
noCheck4factor;17;969;387600;38.76;factor_suitability_2025_Depth_10m_2025_highest.tif;33.104;33.104;33.104;33.104;4.753;8.866;7.755;7.929;29.077;29.077;29.077;29.077;14.336;14.336;14.336;14.336
noCheck4factor;18;270;108000;10.8;factor_suitability_2025_Depth_10m_2025_highest.tif;33.104;33.104;33.104;33.104;6.714;8.528;7.891;7.95;29.077;29.077;29.077;29.077;9.106;14.336;9.377;9.106
noCheck4factor;19;22324;8929600;892.96;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.104;33.101;33.099;3.391;9.053;6.514;6.578;28.951;29.077;29.001;28.951;9.106;13.535;11.782;13.535
noCheck4factor;20;453;181200;18.12;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.717;7.785;6.026;5.961;28.951;28.951;28.951;28.951;13.535;19.773;18.479;19.773
noCheck4factor;21;423;169200;16.92;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;6.096;9.021;7.499;7.329;28.951;28.951;28.951;28.951;13.535;13.535;13.535;13.535
noCheck4factor;22;1085;434000;43.4;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;3.95;8.652;6.333;6.337;28.951;28.951;28.951;28.951;13.535;13.535;13.535;13.535
noCheck4factor;23;2067;826800;82.68;factor_suitability_2025_Depth_10m_2025_highest.tif;33.104;33.104;33.104;33.104;5.777;9.025;7.866;7.884;29.077;29.077;29.077;29.077;5.719;9.106;8.457;9.106
noCheck4factor;24;5946;2378400;237.84;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;3.605;8.861;6.609;6.666;28.951;28.951;28.951;28.951;7.804;19.773;11.4;11.639
