scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;1;50;20000;2.0;factor_suitability_2025_Depth_10m_2025_highest.tif;33.114;33.114;33.114;33.114;6.573;7.811;7.08;6.965;28.978;28.978;28.978;28.978;6.419;6.419;6.419;6.419
check4factor;2;69;27600;2.76;factor_suitability_2025_Depth_10m_2025_highest.tif;33.114;33.114;33.114;33.114;6.412;7.912;7.205;7.251;28.978;28.978;28.978;28.978;6.419;6.419;6.419;6.419
check4factor;3;64;25600;2.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.114;33.102;33.099;6.843;7.983;7.627;7.649;28.978;29.066;29.05;29.066;4.295;6.419;4.66;4.295
check4factor;4;98;39200;3.92;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;7.283;7.984;7.757;7.78;29.066;29.066;29.066;29.066;4.295;4.295;4.295;4.295
check4factor;5;56;22400;2.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;7.174;7.985;7.62;7.674;29.066;29.066;29.066;29.066;4.295;4.295;4.295;4.295
check4factor;6;108;43200;4.32;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.974;7.941;7.54;7.551;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
check4factor;7;692;276800;27.68;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.713;7.997;7.577;7.593;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
check4factor;8;50;20000;2.0;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.369;7.988;7.714;7.698;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
check4factor;9;231;92400;9.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.311;7.998;7.536;7.626;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
check4factor;10;114;45600;4.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.032;7.999;7.786;7.835;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
