scenario,zone_id,pixel_count,area_m2,area_ha,input_file,salinity_mean,depth_mean,temperature_mean,sedimentation_mean
check4factor,1,13788,5515200,551.52,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.607,29.036,5.015
check4factor,2,79,31600,3.16,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.711,29.066,4.295
check4factor,3,607,242800,24.28,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.753,29.066,4.295
check4factor,4,251,100400,10.04,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.739,29.066,4.295
check4factor,5,61,24400,2.44,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.821,29.066,4.295
check4factor,6,72,28800,2.88,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.853,29.066,4.295
check4factor,7,96,38400,3.84,factor_suitability_2025_Depth_10m_2025_highest.tif,33.114,7.751,28.978,6.419
check4factor,8,25011,10004400,1000.44,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.471,29.096,6.074
check4factor,9,53,21200,2.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.525,29.096,4.12
check4factor,10,98,39200,3.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.658,29.096,4.261
check4factor,11,3841,1536400,153.64,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.472,29.096,5.582
check4factor,12,74,29600,2.96,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.728,29.096,4.261
check4factor,13,34849,13939600,1393.96,factor_suitability_2025_Depth_10m_2025_highest.tif,33.118,7.393,29.068,6.349
check4factor,14,189,75600,7.56,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.756,29.096,4.261
check4factor,15,83,33200,3.32,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.786,29.096,4.261
check4factor,16,114,45600,4.56,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.801,29.096,4.261
check4factor,17,57,22800,2.28,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.425,29.096,6.367
check4factor,18,67,26800,2.68,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.845,29.096,4.261
check4factor,19,55,22000,2.2,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.801,29.096,4.529
check4factor,20,73,29200,2.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.543,29.096,6.367
check4factor,21,180,72000,7.2,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.207,29.096,6.367
check4factor,22,745,298000,29.8,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.677,29.096,4.315
check4factor,23,222,88800,8.88,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.683,29.096,4.284
check4factor,24,97,38800,3.88,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.695,29.096,4.284
check4factor,25,54,21600,2.16,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.629,29.096,4.284
check4factor,26,89,35600,3.56,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.535,29.096,4.284
check4factor,27,452,180800,18.08,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.702,29.096,4.284
check4factor,28,75,30000,3.0,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.631,29.096,4.284
check4factor,29,153,61200,6.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.718,29.096,4.284
check4factor,30,109,43600,4.36,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.665,29.096,4.284
check4factor,31,68,27200,2.72,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.625,29.096,4.284
check4factor,32,50,20000,2.0,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.915,29.096,4.284
check4factor,33,78,31200,3.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.707,29.096,4.284
check4factor,34,791,316400,31.64,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,6.109,29.077,14.336
check4factor,35,463,185200,18.52,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,6.877,29.077,14.336
check4factor,36,2219,887600,88.76,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.174,29.077,14.336
check4factor,37,42748,17099200,1709.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.1,6.514,28.983,12.567
check4factor,38,67,26800,2.68,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.544,29.077,10.199
check4factor,39,555,222000,22.2,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.562,29.077,9.106
check4factor,40,53,21200,2.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.675,29.077,9.106
check4factor,41,53,21200,2.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.355,29.077,9.106
check4factor,42,303,121200,12.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.683,29.077,9.106
check4factor,43,94,37600,3.76,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.309,29.077,9.106
check4factor,44,98,39200,3.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,6.349,28.951,19.773
check4factor,45,121,48400,4.84,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.533,29.077,9.106
check4factor,46,1758,703200,70.32,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.196,29.077,8.459
check4factor,47,14021,5608400,560.84,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,6.356,28.951,11.863
check4factor,48,107,42800,4.28,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.581,29.077,8.188
check4factor,49,3892,1556800,155.68,factor_suitability_2025_Depth_10m_2025_highest.tif,33.08,5.64,28.755,19.882
check4factor,50,15165,6066000,606.6,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,5.981,28.951,15.937
check4factor,51,182,72800,7.28,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.075,28.951,7.804
check4factor,52,782,312800,31.28,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.32,28.951,7.804
check4factor,53,29363,11745200,1174.52,factor_suitability_2025_Depth_10m_2025_highest.tif,33.058,6.765,28.873,16.148
check4factor,54,71,28400,2.84,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,6.616,28.951,16.128
check4factor,55,52,20800,2.08,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,6.151,28.874,18.716
check4factor,56,1698,679200,67.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.107,28.874,17.097
check4factor,57,2974,1189600,118.96,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.114,28.874,12.698
check4factor,58,77,30800,3.08,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.42,28.874,10.106
check4factor,59,2505,1002000,100.2,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.451,28.874,10.106
