scenario,zone_id,pixel_count,area_m2,area_ha,input_file,salinity_mean,depth_mean,temperature_mean,sedimentation_mean
noCheck4factor,1,24666,9866400,986.64,factor_suitability_2025_Depth_10m_2025_highest.tif,33.103,7.864,29.042,4.876
noCheck4factor,2,43308,17323200,1732.32,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.718,29.096,5.708
noCheck4factor,3,57042,22816800,2281.68,factor_suitability_2025_Depth_10m_2025_highest.tif,33.117,7.733,29.076,5.823
noCheck4factor,4,58,23200,2.32,factor_suitability_2025_Depth_10m_2025_highest.tif,33.113,7.436,29.096,6.367
noCheck4factor,5,796,318400,31.84,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,6.1,29.077,14.336
noCheck4factor,6,463,185200,18.52,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,6.877,29.077,14.336
noCheck4factor,7,67907,27162800,2716.28,factor_suitability_2025_Depth_10m_2025_highest.tif,33.1,6.726,28.988,12.259
noCheck4factor,8,298,119200,11.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.917,29.077,9.352
noCheck4factor,9,98,39200,3.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,6.349,28.951,19.773
noCheck4factor,10,3690,1476000,147.6,factor_suitability_2025_Depth_10m_2025_highest.tif,33.104,7.733,29.077,8.479
noCheck4factor,11,19509,7803600,780.36,factor_suitability_2025_Depth_10m_2025_highest.tif,33.095,5.921,28.911,16.732
noCheck4factor,12,1792,716800,71.68,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,7.755,28.951,7.804
noCheck4factor,13,60,24000,2.4,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,8.036,28.951,7.804
noCheck4factor,14,33540,13416000,1341.6,factor_suitability_2025_Depth_10m_2025_highest.tif,33.058,6.952,28.872,16.087
noCheck4factor,15,52,20800,2.08,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,6.151,28.874,18.716
noCheck4factor,16,2106,842400,84.24,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.326,28.874,17.097
noCheck4factor,17,29698,11879200,1187.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.03,7.946,28.896,9.566
noCheck4factor,18,183,73200,7.32,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.882,28.916,9.87
noCheck4factor,19,331,132400,13.24,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.227,28.916,15.69
noCheck4factor,20,841,336400,33.64,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.502,28.916,14.077
noCheck4factor,21,3932,1572800,157.28,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.155,28.912,11.968
noCheck4factor,22,4728,1891200,189.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.608,28.916,11.886
noCheck4factor,23,219,87600,8.76,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.512,28.701,14.292
noCheck4factor,24,259,103600,10.36,factor_suitability_2025_Depth_10m_2025_highest.tif,32.949,6.848,28.837,15.662
noCheck4factor,25,84,33600,3.36,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.412,28.947,9.79
noCheck4factor,26,22922,9168800,916.88,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.743,28.947,9.094
noCheck4factor,27,6246,2498400,249.84,factor_suitability_2025_Depth_10m_2025_highest.tif,32.95,7.211,28.855,13.135
noCheck4factor,28,853,341200,34.12,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.023,28.947,9.706
noCheck4factor,29,350,140000,14.0,factor_suitability_2025_Depth_10m_2025_highest.tif,32.96,7.775,28.947,6.637
noCheck4factor,30,52,20800,2.08,factor_suitability_2025_Depth_10m_2025_highest.tif,32.915,5.853,28.963,12.008
noCheck4factor,31,461,184400,18.44,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.269,29.093,9.216
noCheck4factor,32,457,182800,18.28,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.509,29.093,9.216
noCheck4factor,33,1396,558400,55.84,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.57,29.093,9.196
noCheck4factor,34,338,135200,13.52,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,6.834,29.093,5.844
noCheck4factor,35,33747,13498800,1349.88,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,8.087,29.093,5.197
noCheck4factor,36,824,329600,32.96,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.044,29.093,7.435
noCheck4factor,37,2488,995200,99.52,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,8.15,29.093,5.405
noCheck4factor,38,334,133600,13.36,factor_suitability_2025_Depth_10m_2025_highest.tif,32.89,7.445,29.093,5.44
noCheck4factor,39,51,20400,2.04,factor_suitability_2025_Depth_10m_2025_highest.tif,32.889,7.29,28.926,8.94
noCheck4factor,40,84,33600,3.36,factor_suitability_2025_Depth_10m_2025_highest.tif,32.889,6.569,28.926,16.88
noCheck4factor,41,64,25600,2.56,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,7.919,29.014,7.821
noCheck4factor,42,113,45200,4.52,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,7.04,29.014,7.821
noCheck4factor,43,7047,2818800,281.88,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,6.596,29.014,8.296
noCheck4factor,44,119,47600,4.76,factor_suitability_2025_Depth_10m_2025_highest.tif,32.868,6.585,29.014,7.821
