frequency,depth,salinity,temp,sediment,count_pixels,year,freq_file,depth_file
4,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,out of range,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.0 - 4.5,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.0 - 4.5,32.5 - 33.0,no data avail,out of range,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,5,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,out of range,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.5 - 5.0,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.5 - 5.0,32.5 - 33.0,29.0 - 29.5,15.0 - 20.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.5 - 5.0,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.5 - 5.0,32.5 - 33.0,no data avail,out of range,10,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,4.5 - 5.0,33.0 - 33.5,28.5 - 29.0,out of range,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.0 - 5.5,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,18,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.0 - 5.5,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.0 - 5.5,32.5 - 33.0,28.5 - 29.0,out of range,10,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.0 - 5.5,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,36,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.0 - 5.5,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,14,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.0 - 5.5,32.5 - 33.0,no data avail,out of range,5,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.0 - 5.5,33.0 - 33.5,28.5 - 29.0,out of range,8,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,40,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,32.5 - 33.0,28.5 - 29.0,out of range,8,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,8,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,96,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,176,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,32.5 - 33.0,no data avail,out of range,10,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,5.5 - 6.0,33.0 - 33.5,28.5 - 29.0,out of range,15,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,80,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
