file_name,pixel_size_x,pixel_size_y,pixel_area_m2,total_area_ha,area_class_0_ha,area_class_1_ha,percentage_seaweed
2023_q1,20.0,20.0,400.0,908303.2,135859.0,772444.2,85.04
2023_q2,20.0,20.0,400.0,908276.64,336064.12,572212.52,63.0
2023_q3,20.0,20.0,400.0,899185.92,291497.16,607688.76,67.58
2023_q4,20.0,20.0,400.0,908303.72,45379.16,862924.56,95.0
2024_q1,20.0,20.0,400.0,908267.96,247940.68,660327.28,72.7
2024_q2,20.0,20.0,400.0,894643.12,289472.64,605170.48,67.64
2025_q1,20.0,20.0,400.0,908302.6,288547.28,619755.32,68.23
2025_q2,20.0,20.0,400.0,908303.72,811101.96,97201.76,10.7
2025_q3,20.0,20.0,400.0,890304.12,151830.36,738473.76,82.95
2025_q4,20.0,20.0,400.0,908303.72,251224.56,657079.16,72.34
