frequency,depth_interval,salinity_interval,count_pixels
1,32.5 - 33.0,1.0 - 1.5,4
1,32.5 - 33.0,1.5 - 2.0,338
1,32.5 - 33.0,10.0 - 10.5,6710
1,32.5 - 33.0,10.5 - 11.0,6371
1,32.5 - 33.0,11.0 - 11.5,6169
1,32.5 - 33.0,11.5 - 12.0,5847
1,32.5 - 33.0,12.0 - 12.5,5610
1,32.5 - 33.0,12.5 - 13.0,5170
1,32.5 - 33.0,13.0 - 13.5,4832
1,32.5 - 33.0,13.5 - 14.0,4798
1,32.5 - 33.0,14.0 - 14.5,5241
1,32.5 - 33.0,14.5 - 15.0,6007
1,32.5 - 33.0,15.0 - 15.5,6865
1,32.5 - 33.0,15.5 - 16.0,6639
1,32.5 - 33.0,16.0 - 16.5,5647
1,32.5 - 33.0,16.5 - 17.0,4721
1,32.5 - 33.0,17.0 - 17.5,3649
1,32.5 - 33.0,17.5 - 18.0,2956
1,32.5 - 33.0,18.0 - 18.5,2276
1,32.5 - 33.0,18.5 - 19.0,1765
1,32.5 - 33.0,19.0 - 19.5,1376
1,32.5 - 33.0,19.5 - 20.0,1047
1,32.5 - 33.0,2.0 - 2.5,409
1,32.5 - 33.0,2.5 - 3.0,1773
1,32.5 - 33.0,20.0 - 20.5,840
1,32.5 - 33.0,20.5 - 21.0,604
1,32.5 - 33.0,21.0 - 21.5,503
1,32.5 - 33.0,21.5 - 22.0,401
1,32.5 - 33.0,22.0 - 22.5,324
1,32.5 - 33.0,22.5 - 23.0,303
1,32.5 - 33.0,23.0 - 23.5,276
1,32.5 - 33.0,23.5 - 24.0,276
1,32.5 - 33.0,24.0 - 24.5,227
1,32.5 - 33.0,24.5 - 25.0,219
1,32.5 - 33.0,25.0 - 25.5,229
1,32.5 - 33.0,25.5 - 26.0,218
1,32.5 - 33.0,26.0 - 26.5,228
1,32.5 - 33.0,26.5 - 27.0,188
1,32.5 - 33.0,27.0 - 27.5,139
1,32.5 - 33.0,27.5 - 28.0,101
1,32.5 - 33.0,28.0 - 28.5,82
1,32.5 - 33.0,28.5 - 29.0,78
1,32.5 - 33.0,29.0 - 29.5,86
1,32.5 - 33.0,29.5 - 30.0,69
1,32.5 - 33.0,3.0 - 3.5,3640
1,32.5 - 33.0,3.5 - 4.0,7829
1,32.5 - 33.0,30.0 - 30.5,46
1,32.5 - 33.0,30.5 - 31.0,17
1,32.5 - 33.0,31.0 - 31.5,7
1,32.5 - 33.0,31.5 - 32.0,3
1,32.5 - 33.0,4.0 - 4.5,14662
1,32.5 - 33.0,4.5 - 5.0,15293
1,32.5 - 33.0,5.0 - 5.5,13717
1,32.5 - 33.0,5.5 - 6.0,9389
1,32.5 - 33.0,6.0 - 6.5,6320
1,32.5 - 33.0,6.5 - 7.0,5604
1,32.5 - 33.0,7.0 - 7.5,5187
1,32.5 - 33.0,7.5 - 8.0,5031
1,32.5 - 33.0,8.0 - 8.5,5641
1,32.5 - 33.0,8.5 - 9.0,6090
1,32.5 - 33.0,9.0 - 9.5,5979
1,32.5 - 33.0,9.5 - 10.0,6300
1,32.5 - 33.0,no data avail,4804
1,33.0 - 33.5,10.0 - 10.5,2645
1,33.0 - 33.5,10.5 - 11.0,4124
1,33.0 - 33.5,11.0 - 11.5,5379
1,33.0 - 33.5,11.5 - 12.0,6179
1,33.0 - 33.5,12.0 - 12.5,6730
1,33.0 - 33.5,12.5 - 13.0,6551
1,33.0 - 33.5,13.0 - 13.5,6482
1,33.0 - 33.5,13.5 - 14.0,6918
1,33.0 - 33.5,14.0 - 14.5,7875
1,33.0 - 33.5,14.5 - 15.0,9573
1,33.0 - 33.5,15.0 - 15.5,11275
1,33.0 - 33.5,15.5 - 16.0,12651
1,33.0 - 33.5,16.0 - 16.5,13671
1,33.0 - 33.5,16.5 - 17.0,15194
1,33.0 - 33.5,17.0 - 17.5,17068
1,33.0 - 33.5,17.5 - 18.0,18359
1,33.0 - 33.5,18.0 - 18.5,17747
1,33.0 - 33.5,18.5 - 19.0,14597
1,33.0 - 33.5,19.0 - 19.5,11701
1,33.0 - 33.5,19.5 - 20.0,10162
1,33.0 - 33.5,20.0 - 20.5,8444
1,33.0 - 33.5,20.5 - 21.0,6894
1,33.0 - 33.5,21.0 - 21.5,5261
1,33.0 - 33.5,21.5 - 22.0,3734
1,33.0 - 33.5,22.0 - 22.5,2102
1,33.0 - 33.5,22.5 - 23.0,1005
1,33.0 - 33.5,23.0 - 23.5,496
1,33.0 - 33.5,23.5 - 24.0,396
1,33.0 - 33.5,24.0 - 24.5,371
1,33.0 - 33.5,24.5 - 25.0,370
1,33.0 - 33.5,25.0 - 25.5,332
1,33.0 - 33.5,25.5 - 26.0,267
1,33.0 - 33.5,26.0 - 26.5,191
1,33.0 - 33.5,26.5 - 27.0,124
1,33.0 - 33.5,27.0 - 27.5,108
1,33.0 - 33.5,27.5 - 28.0,70
1,33.0 - 33.5,28.0 - 28.5,58
1,33.0 - 33.5,28.5 - 29.0,32
1,33.0 - 33.5,29.0 - 29.5,35
1,33.0 - 33.5,29.5 - 30.0,22
1,33.0 - 33.5,3.5 - 4.0,2
1,33.0 - 33.5,30.0 - 30.5,3
1,33.0 - 33.5,30.5 - 31.0,1
1,33.0 - 33.5,4.0 - 4.5,15
1,33.0 - 33.5,4.5 - 5.0,88
1,33.0 - 33.5,5.0 - 5.5,216
1,33.0 - 33.5,5.5 - 6.0,290
1,33.0 - 33.5,6.0 - 6.5,465
1,33.0 - 33.5,6.5 - 7.0,588
1,33.0 - 33.5,7.0 - 7.5,726
1,33.0 - 33.5,7.5 - 8.0,759
1,33.0 - 33.5,8.0 - 8.5,791
1,33.0 - 33.5,8.5 - 9.0,873
1,33.0 - 33.5,9.0 - 9.5,1133
1,33.0 - 33.5,9.5 - 10.0,1630
1,33.0 - 33.5,no data avail,11338
1,no data avail,1.5 - 2.0,1
1,no data avail,10.0 - 10.5,13
