frequency,depth_interval,salinity_interval,count_pixels
1,32.5 - 33.0,10.0 - 10.5,4
1,32.5 - 33.0,10.5 - 11.0,3
1,32.5 - 33.0,11.0 - 11.5,2
1,32.5 - 33.0,11.5 - 12.0,1
1,32.5 - 33.0,12.0 - 12.5,2
1,32.5 - 33.0,12.5 - 13.0,4
1,32.5 - 33.0,14.0 - 14.5,1
1,32.5 - 33.0,15.5 - 16.0,1
1,32.5 - 33.0,16.0 - 16.5,1
1,32.5 - 33.0,16.5 - 17.0,1
1,32.5 - 33.0,17.5 - 18.0,1
1,32.5 - 33.0,18.0 - 18.5,2
1,32.5 - 33.0,18.5 - 19.0,3
1,32.5 - 33.0,19.0 - 19.5,1
1,32.5 - 33.0,20.0 - 20.5,1
1,32.5 - 33.0,21.0 - 21.5,1
1,32.5 - 33.0,23.5 - 24.0,1
1,32.5 - 33.0,3.5 - 4.0,4
1,32.5 - 33.0,4.0 - 4.5,23
1,32.5 - 33.0,4.5 - 5.0,27
1,32.5 - 33.0,5.0 - 5.5,43
1,32.5 - 33.0,5.5 - 6.0,36
1,32.5 - 33.0,6.0 - 6.5,42
1,32.5 - 33.0,6.5 - 7.0,19
1,32.5 - 33.0,7.0 - 7.5,27
1,32.5 - 33.0,7.5 - 8.0,14
1,32.5 - 33.0,8.0 - 8.5,5
1,32.5 - 33.0,8.5 - 9.0,5
1,32.5 - 33.0,9.0 - 9.5,6
1,32.5 - 33.0,9.5 - 10.0,5
1,33.0 - 33.5,10.0 - 10.5,2
1,33.0 - 33.5,10.5 - 11.0,3
1,33.0 - 33.5,11.0 - 11.5,2
1,33.0 - 33.5,11.5 - 12.0,7
1,33.0 - 33.5,12.0 - 12.5,2
1,33.0 - 33.5,12.5 - 13.0,6
1,33.0 - 33.5,13.0 - 13.5,4
1,33.0 - 33.5,13.5 - 14.0,17
1,33.0 - 33.5,14.0 - 14.5,23
1,33.0 - 33.5,14.5 - 15.0,42
1,33.0 - 33.5,15.0 - 15.5,58
1,33.0 - 33.5,15.5 - 16.0,49
1,33.0 - 33.5,16.0 - 16.5,68
1,33.0 - 33.5,16.5 - 17.0,80
1,33.0 - 33.5,17.0 - 17.5,80
1,33.0 - 33.5,17.5 - 18.0,103
1,33.0 - 33.5,18.0 - 18.5,98
1,33.0 - 33.5,18.5 - 19.0,59
1,33.0 - 33.5,19.0 - 19.5,45
1,33.0 - 33.5,19.5 - 20.0,27
1,33.0 - 33.5,20.0 - 20.5,28
1,33.0 - 33.5,20.5 - 21.0,19
1,33.0 - 33.5,21.0 - 21.5,11
1,33.0 - 33.5,21.5 - 22.0,8
1,33.0 - 33.5,22.0 - 22.5,3
1,33.0 - 33.5,24.0 - 24.5,1
1,33.0 - 33.5,4.0 - 4.5,1
1,33.0 - 33.5,4.5 - 5.0,2
1,33.0 - 33.5,5.0 - 5.5,27
1,33.0 - 33.5,5.5 - 6.0,57
1,33.0 - 33.5,6.0 - 6.5,110
1,33.0 - 33.5,6.5 - 7.0,135
1,33.0 - 33.5,7.0 - 7.5,106
1,33.0 - 33.5,7.5 - 8.0,48
1,33.0 - 33.5,8.0 - 8.5,34
1,33.0 - 33.5,8.5 - 9.0,8
1,33.0 - 33.5,9.0 - 9.5,4
1,33.0 - 33.5,9.5 - 10.0,2
1,33.0 - 33.5,no data avail,122
