system:index,areaAsmat,candidate,endDate,precision,recall,sampleCount,startDate,testOA,.geo
0,0.039561593627929686,2023_q1,2023-04-01,"[[0.8571428571428571, 0.896551724137931]]","[[0.8571428571428571], [0.896551724137931]]",150,2023-01-01,0.88,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,79255.57047601065,2023_q2,2023-07-01,"[[0.8387096774193549, 0.9333333333333333]]","[[0.9629629629629629], [0.7368421052631579]]",150,2023-04-01,0.8695652173913043,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,33921.11648715334,2023_q3,2023-10-01,"[[0.8260869565217391, 0.8571428571428571]]","[[0.8260869565217391], [0.8571428571428571]]",150,2023-07-01,0.8431372549019608,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4211.108028222665,2023_q4,2024-01-01,"[[0.9615384615384616, 0.8823529411764706]]","[[0.9259259259259259], [0.9375]]",150,2023-10-01,0.9302325581395349,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4923.4879174900925,2024_q1,2024-04-01,"[[1.0, 1.0]]","[[1.0], [1.0]]",150,2024-01-01,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2521.614132489016,2024_q2,2024-07-01,"[[0.782608695652174, 0.84]]","[[0.8181818181818182], [0.8076923076923077]]",150,2024-04-01,0.8125,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9560.928393584994,2024_q3,2024-10-01,"[[0.8181818181818182, 0.92]]","[[0.9], [0.8518518518518519]]",150,2024-07-01,0.8723404255319149,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,86259.77770849927,2024_q4,2025-01-01,"[[0.9545454545454546, 0.9473684210526315]]","[[0.9545454545454546], [0.9473684210526315]]",150,2024-10-01,0.9512195121951219,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,2025_q1,2025-04-01,"[[1.0, 0.9444444444444444]]","[[0.9583333333333334], [1.0]]",150,2025-01-01,0.975609756097561,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,34.46560602111815,2025_q2,2025-07-01,"[[0.8333333333333334, 0.8571428571428571]]","[[0.7894736842105263], [0.8888888888888888]]",150,2025-04-01,0.8478260869565217,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7276.206872238157,2025_q3,2025-10-01,"[[0.875, 0.8947368421052632]]","[[0.9130434782608695], [0.85]]",150,2025-07-01,0.8837209302325582,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,36.4367539855955,2025_q4,2026-01-01,"[[1.0, 0.8666666666666667]]","[[0.92], [1.0]]",150,2025-10-01,0.9473684210526315,"{""type"":""MultiPoint"",""coordinates"":[]}"
