file_name,pixel_size_x,pixel_size_y,pixel_area_m2,total_area_ha,area_class_0_ha,area_class_1_ha,percentage_seaweed
2023_q1,20.0,20.0,400.0,924006.68,924005.32,1.36,0.0
2023_q2,20.0,20.0,400.0,913524.04,819445.84,94078.2,10.3
2023_q3,20.0,20.0,400.0,914869.88,853173.92,61695.96,6.74
2023_q4,20.0,20.0,400.0,905122.16,866647.28,38474.88,4.25
2024_q1,20.0,20.0,400.0,922414.2,920061.84,2352.36,0.26
2024_q2,20.0,20.0,400.0,902300.84,858014.72,44286.12,4.91
2024_q3,20.0,20.0,400.0,840654.6,798904.0,41750.6,4.97
2024_q4,20.0,20.0,400.0,929239.56,927858.76,1380.8,0.15
2025_q1,20.0,20.0,400.0,919067.6,919067.6,0.0,0.0
2025_q2,20.0,20.0,400.0,920635.8,908237.88,12397.92,1.35
2025_q3,20.0,20.0,400.0,908086.28,900918.08,7168.2,0.79
2025_q4,20.0,20.0,400.0,929050.8,929050.4,0.4,0.0
