frequency,depth,salinity,temp,count_pixels,year,freq_file,depth_file
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,4023,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,3519,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,no data avail,2471,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,28.5 - 29.0,554,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,no data avail,193,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,no data avail,no data avail,563,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,5658,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,29.0 - 29.5,5839,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,no data avail,3530,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,33.0 - 33.5,28.5 - 29.0,871,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,33.0 - 33.5,no data avail,165,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,no data avail,no data avail,555,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,4112,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,29.0 - 29.5,5750,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,32.5 - 33.0,no data avail,2440,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,1536,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,33.0 - 33.5,no data avail,245,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.0 - 4.5,no data avail,no data avail,303,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,3828,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,32.5 - 33.0,29.0 - 29.5,8086,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,32.5 - 33.0,no data avail,1473,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,33.0 - 33.5,28.5 - 29.0,2352,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,33.0 - 33.5,29.0 - 29.5,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,33.0 - 33.5,no data avail,315,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,4.5 - 5.0,no data avail,no data avail,164,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,no data avail,32.5 - 33.0,28.5 - 29.0,1664,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,no data avail,32.5 - 33.0,29.0 - 29.5,2065,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,no data avail,32.5 - 33.0,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,no data avail,33.0 - 33.5,28.5 - 29.0,136302,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,no data avail,33.0 - 33.5,29.0 - 29.5,140101,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,no data avail,33.0 - 33.5,no data avail,434,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,no data avail,no data avail,no data avail,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,32.5 - 33.0,28.5 - 29.0,13377,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,32.5 - 33.0,29.0 - 29.5,20318,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,32.5 - 33.0,no data avail,6533,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,33.0 - 33.5,27.5 - 28.0,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,33.0 - 33.5,28.5 - 29.0,64896,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,33.0 - 33.5,29.0 - 29.5,27274,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,33.0 - 33.5,no data avail,2506,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,out of range,no data avail,no data avail,1583,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,3.5 - 4.0,32.5 - 33.0,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,4.0 - 4.5,32.5 - 33.0,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,4.5 - 5.0,33.0 - 33.5,28.5 - 29.0,9,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,no data avail,33.0 - 33.5,28.5 - 29.0,2119,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,no data avail,33.0 - 33.5,29.0 - 29.5,2582,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,no data avail,33.0 - 33.5,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,out of range,32.5 - 33.0,29.0 - 29.5,9,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,out of range,32.5 - 33.0,no data avail,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,out of range,33.0 - 33.5,28.5 - 29.0,367,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,out of range,33.0 - 33.5,29.0 - 29.5,245,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
2,out of range,33.0 - 33.5,no data avail,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
