zone_id,pixel_count,area_m2,area_ha
1,2,800,0.08
2,1,400,0.04
3,2,800,0.08
4,1,400,0.04
5,9,3600,0.36
6,1,400,0.04
7,1,400,0.04
8,1,400,0.04
9,2,800,0.08
10,1,400,0.04
11,1,400,0.04
12,3,1200,0.12
13,1,400,0.04
14,2,800,0.08
15,1,400,0.04
16,1,400,0.04
17,1,400,0.04
18,1,400,0.04
19,1,400,0.04
20,1,400,0.04
21,1,400,0.04
22,2,800,0.08
23,1,400,0.04
24,1,400,0.04
25,1,400,0.04
26,1,400,0.04
27,1,400,0.04
28,1,400,0.04
29,1,400,0.04
30,1,400,0.04
31,6,2400,0.24
32,1,400,0.04
33,1,400,0.04
34,1,400,0.04
35,2,800,0.08
36,1,400,0.04
37,2,800,0.08
38,2,800,0.08
39,1,400,0.04
40,11,4400,0.44
41,1,400,0.04
42,2,800,0.08
43,2,800,0.08
44,1,400,0.04
45,3,1200,0.12
46,1,400,0.04
47,1,400,0.04
48,8,3200,0.32
49,7,2800,0.28
50,1,400,0.04
51,2,800,0.08
52,1,400,0.04
53,1,400,0.04
54,2,800,0.08
55,1,400,0.04
56,1,400,0.04
57,3,1200,0.12
58,1,400,0.04
59,2,800,0.08
60,2,800,0.08
61,2,800,0.08
62,1,400,0.04
63,1,400,0.04
64,2,800,0.08
65,2,800,0.08
66,1,400,0.04
67,1,400,0.04
68,6,2400,0.24
69,1,400,0.04
70,1,400,0.04
71,2,800,0.08
72,2,800,0.08
73,1,400,0.04
74,1,400,0.04
75,1,400,0.04
76,1,400,0.04
77,1,400,0.04
78,1,400,0.04
79,2,800,0.08
80,3,1200,0.12
81,4,1600,0.16
82,1,400,0.04
83,1,400,0.04
84,1,400,0.04
85,1,400,0.04
86,1,400,0.04
87,4,1600,0.16
88,1,400,0.04
89,1,400,0.04
90,1,400,0.04
91,1,400,0.04
92,1,400,0.04
93,2,800,0.08
94,1,400,0.04
95,1,400,0.04
96,3,1200,0.12
97,4,1600,0.16
98,1,400,0.04
99,4,1600,0.16
100,1,400,0.04
101,1,400,0.04
102,1,400,0.04
103,2,800,0.08
104,1,400,0.04
105,1,400,0.04
106,1,400,0.04
107,1,400,0.04
108,1,400,0.04
109,2,800,0.08
110,2,800,0.08
111,4,1600,0.16
112,1,400,0.04
113,1,400,0.04
114,1,400,0.04
115,1,400,0.04
116,2,800,0.08
117,1,400,0.04
118,1,400,0.04
119,2,800,0.08
120,2,800,0.08
121,2,800,0.08
122,1,400,0.04
123,1,400,0.04
124,1,400,0.04
125,3,1200,0.12
126,1,400,0.04
127,1,400,0.04
128,1,400,0.04
129,1,400,0.04
130,5,2000,0.2
131,1,400,0.04
132,1,400,0.04
133,2,800,0.08
134,1,400,0.04
135,1,400,0.04
136,1,400,0.04
137,3,1200,0.12
138,1,400,0.04
139,2,800,0.08
140,140,56000,5.6
141,1,400,0.04
142,4,1600,0.16
143,17,6800,0.68
144,1,400,0.04
145,1,400,0.04
146,10,4000,0.4
147,1,400,0.04
148,8,3200,0.32
149,1,400,0.04
150,4,1600,0.16
151,2,800,0.08
152,5,2000,0.2
153,1,400,0.04
154,1,400,0.04
155,1,400,0.04
156,3,1200,0.12
157,1,400,0.04
158,2,800,0.08
159,5,2000,0.2
160,1,400,0.04
161,3,1200,0.12
162,1,400,0.04
163,1,400,0.04
164,1,400,0.04
165,3,1200,0.12
166,1,400,0.04
167,1,400,0.04
168,1,400,0.04
169,1,400,0.04
170,1,400,0.04
171,1,400,0.04
172,1,400,0.04
173,2,800,0.08
174,15,6000,0.6
175,1,400,0.04
176,2,800,0.08
177,1,400,0.04
178,4,1600,0.16
179,1,400,0.04
180,4,1600,0.16
181,2,800,0.08
182,1,400,0.04
183,1,400,0.04
184,166,66400,6.64
185,18,7200,0.72
186,3,1200,0.12
187,1,400,0.04
188,1,400,0.04
189,1,400,0.04
190,2,800,0.08
191,2,800,0.08
192,1,400,0.04
193,2,800,0.08
194,2,800,0.08
195,9,3600,0.36
196,2,800,0.08
197,5,2000,0.2
198,1,400,0.04
199,1,400,0.04
200,1,400,0.04
201,2,800,0.08
202,2,800,0.08
203,1,400,0.04
204,1,400,0.04
205,1,400,0.04
206,8,3200,0.32
207,1,400,0.04
208,2,800,0.08
209,1,400,0.04
210,1,400,0.04
211,1,400,0.04
212,2,800,0.08
213,1,400,0.04
214,1,400,0.04
215,1,400,0.04
216,1,400,0.04
217,3,1200,0.12
218,1,400,0.04
219,1,400,0.04
220,1,400,0.04
221,1,400,0.04
222,1,400,0.04
223,1,400,0.04
224,3,1200,0.12
225,1,400,0.04
226,1,400,0.04
227,2,800,0.08
228,2,800,0.08
229,1,400,0.04
230,1,400,0.04
231,1,400,0.04
232,1,400,0.04
233,1,400,0.04
234,2,800,0.08
235,1,400,0.04
236,6,2400,0.24
237,1,400,0.04
238,4,1600,0.16
239,2,800,0.08
240,2,800,0.08
241,1,400,0.04
242,1,400,0.04
243,13,5200,0.52
244,1,400,0.04
245,1,400,0.04
246,1,400,0.04
247,1,400,0.04
248,2,800,0.08
249,88,35200,3.52
250,1,400,0.04
251,2,800,0.08
252,1,400,0.04
253,6,2400,0.24
254,5,2000,0.2
255,1,400,0.04
256,3,1200,0.12
257,2,800,0.08
258,28,11200,1.12
259,1,400,0.04
260,23,9200,0.92
261,1,400,0.04
262,5,2000,0.2
263,1,400,0.04
264,2,800,0.08
265,3,1200,0.12
266,1,400,0.04
267,1,400,0.04
268,1,400,0.04
269,3,1200,0.12
270,2,800,0.08
271,103,41200,4.12
272,1,400,0.04
273,2,800,0.08
274,1,400,0.04
275,1,400,0.04
276,2,800,0.08
277,1,400,0.04
278,4,1600,0.16
279,1,400,0.04
280,1,400,0.04
281,1,400,0.04
282,1,400,0.04
283,2,800,0.08
284,1,400,0.04
285,1,400,0.04
286,6,2400,0.24
287,1,400,0.04
288,1,400,0.04
289,2,800,0.08
290,1,400,0.04
291,1,400,0.04
292,1,400,0.04
293,1,400,0.04
294,1,400,0.04
295,1,400,0.04
296,1,400,0.04
297,3,1200,0.12
298,10,4000,0.4
299,2,800,0.08
300,1,400,0.04
301,23,9200,0.92
302,1,400,0.04
303,3,1200,0.12
304,1,400,0.04
305,2,800,0.08
306,1,400,0.04
307,2,800,0.08
308,3,1200,0.12
309,1,400,0.04
310,4,1600,0.16
311,1,400,0.04
312,3,1200,0.12
313,1,400,0.04
314,1,400,0.04
315,1,400,0.04
316,1,400,0.04
317,1,400,0.04
318,1,400,0.04
319,1,400,0.04
320,1,400,0.04
321,1,400,0.04
322,1,400,0.04
323,3,1200,0.12
324,1,400,0.04
325,1,400,0.04
326,1,400,0.04
327,1,400,0.04
328,1,400,0.04
329,1,400,0.04
330,1,400,0.04
331,1,400,0.04
332,1,400,0.04
333,1,400,0.04
334,1,400,0.04
335,3,1200,0.12
336,2,800,0.08
337,1,400,0.04
338,1,400,0.04
339,65,26000,2.6
340,1,400,0.04
341,4,1600,0.16
342,19,7600,0.76
343,1,400,0.04
344,1,400,0.04
345,2,800,0.08
346,5,2000,0.2
347,2,800,0.08
348,30,12000,1.2
349,3,1200,0.12
350,1,400,0.04
351,1,400,0.04
352,2,800,0.08
353,1,400,0.04
354,14,5600,0.56
355,1,400,0.04
356,1,400,0.04
357,1,400,0.04
358,1,400,0.04
359,2,800,0.08
360,5,2000,0.2
361,1,400,0.04
362,1,400,0.04
363,1,400,0.04
364,11,4400,0.44
365,1,400,0.04
366,3,1200,0.12
367,1,400,0.04
368,1,400,0.04
369,1,400,0.04
370,8,3200,0.32
371,1,400,0.04
372,1,400,0.04
373,1,400,0.04
374,2,800,0.08
375,1,400,0.04
376,1,400,0.04
377,1,400,0.04
378,1,400,0.04
379,2,800,0.08
380,1,400,0.04
381,1,400,0.04
382,23,9200,0.92
383,3,1200,0.12
384,1,400,0.04
385,1,400,0.04
386,2,800,0.08
387,2,800,0.08
388,1,400,0.04
389,2,800,0.08
390,1,400,0.04
391,1,400,0.04
392,3,1200,0.12
393,1,400,0.04
394,3,1200,0.12
395,2,800,0.08
396,1,400,0.04
397,2,800,0.08
398,1,400,0.04
399,1,400,0.04
400,1,400,0.04
401,3,1200,0.12
402,1,400,0.04
403,1,400,0.04
404,1,400,0.04
405,4,1600,0.16
406,1,400,0.04
407,2,800,0.08
408,2,800,0.08
409,2,800,0.08
410,1,400,0.04
411,2,800,0.08
412,1,400,0.04
413,1,400,0.04
414,1,400,0.04
415,2,800,0.08
416,10,4000,0.4
417,1,400,0.04
418,1,400,0.04
419,1,400,0.04
420,2,800,0.08
421,1,400,0.04
422,1,400,0.04
423,1,400,0.04
424,3,1200,0.12
425,1,400,0.04
426,4,1600,0.16
427,1,400,0.04
428,1,400,0.04
429,1,400,0.04
430,1,400,0.04
431,1,400,0.04
432,1,400,0.04
433,1,400,0.04
434,14,5600,0.56
435,1,400,0.04
436,2,800,0.08
437,1,400,0.04
438,1,400,0.04
439,1,400,0.04
440,1,400,0.04
441,1,400,0.04
442,1,400,0.04
443,1,400,0.04
444,1,400,0.04
445,1,400,0.04
446,6,2400,0.24
447,1,400,0.04
448,1,400,0.04
449,1,400,0.04
450,8,3200,0.32
451,1,400,0.04
452,1,400,0.04
453,1,400,0.04
454,2,800,0.08
455,5,2000,0.2
456,1,400,0.04
457,1,400,0.04
458,1,400,0.04
459,2,800,0.08
460,1,400,0.04
461,1,400,0.04
462,2,800,0.08
463,4,1600,0.16
