zone_id,pixel_count,area_m2,area_ha
1,189,75600,7.56
2,38,15200,1.52
3,118,47200,4.72
4,36,14400,1.44
5,25,10000,1.0
6,106,42400,4.24
7,37,14800,1.48
8,115,46000,4.6
9,69,27600,2.76
10,179,71600,7.16
11,40,16000,1.6
12,30,12000,1.2
13,149,59600,5.96
14,68,27200,2.72
15,56,22400,2.24
16,60,24000,2.4
17,38,15200,1.52
18,65,26000,2.6
19,369,147600,14.76
20,107,42800,4.28
21,57,22800,2.28
22,103,41200,4.12
23,122,48800,4.88
24,25,10000,1.0
25,191,76400,7.64
26,80,32000,3.2
27,51,20400,2.04
28,56,22400,2.24
29,61,24400,2.44
30,67,26800,2.68
31,111,44400,4.44
32,27,10800,1.08
33,128,51200,5.12
34,71,28400,2.84
35,104,41600,4.16
36,28,11200,1.12
37,29,11600,1.16
38,47,18800,1.88
39,32,12800,1.28
40,32,12800,1.28
41,89,35600,3.56
42,26,10400,1.04
43,56,22400,2.24
44,256,102400,10.24
45,100,40000,4.0
46,35,14000,1.4
47,118,47200,4.72
48,42,16800,1.68
49,51,20400,2.04
50,88,35200,3.52
51,89,35600,3.56
52,39,15600,1.56
53,65,26000,2.6
54,474,189600,18.96
55,43,17200,1.72
56,78,31200,3.12
57,69,27600,2.76
58,40,16000,1.6
59,69,27600,2.76
60,47,18800,1.88
61,26,10400,1.04
62,90,36000,3.6
63,56,22400,2.24
64,45,18000,1.8
65,1226,490400,49.04
66,76,30400,3.04
67,188,75200,7.52
68,32,12800,1.28
69,51,20400,2.04
70,35,14000,1.4
71,32,12800,1.28
72,438,175200,17.52
73,664,265600,26.56
74,26,10400,1.04
75,67,26800,2.68
76,34,13600,1.36
77,231,92400,9.24
78,66,26400,2.64
79,46,18400,1.84
80,81,32400,3.24
81,91,36400,3.64
82,50,20000,2.0
83,85,34000,3.4
84,34,13600,1.36
85,594,237600,23.76
86,65,26000,2.6
87,147,58800,5.88
88,1158,463200,46.32
89,63,25200,2.52
90,350,140000,14.0
91,49,19600,1.96
92,73,29200,2.92
93,30,12000,1.2
94,77,30800,3.08
95,141,56400,5.64
96,25,10000,1.0
97,42,16800,1.68
98,29,11600,1.16
99,96,38400,3.84
100,132,52800,5.28
101,58,23200,2.32
102,60,24000,2.4
103,31,12400,1.24
104,38,15200,1.52
105,68,27200,2.72
106,61,24400,2.44
107,82,32800,3.28
108,35,14000,1.4
109,31,12400,1.24
110,280,112000,11.2
111,108,43200,4.32
112,49,19600,1.96
113,42,16800,1.68
114,44,17600,1.76
115,126,50400,5.04
116,64,25600,2.56
117,1905,762000,76.2
118,48,19200,1.92
119,43,17200,1.72
120,52,20800,2.08
121,30,12000,1.2
122,167,66800,6.68
123,97,38800,3.88
124,29,11600,1.16
125,36,14400,1.44
126,683,273200,27.32
127,30,12000,1.2
128,57,22800,2.28
129,57,22800,2.28
130,49,19600,1.96
131,54,21600,2.16
132,60,24000,2.4
133,233,93200,9.32
134,42,16800,1.68
135,3780,1512000,151.2
136,39,15600,1.56
137,37,14800,1.48
138,26,10400,1.04
139,43,17200,1.72
140,119,47600,4.76
141,135,54000,5.4
142,126,50400,5.04
143,69,27600,2.76
144,46,18400,1.84
145,32,12800,1.28
146,762,304800,30.48
147,53,21200,2.12
148,242,96800,9.68
149,211,84400,8.44
150,356,142400,14.24
151,49,19600,1.96
152,25,10000,1.0
153,43,17200,1.72
154,883,353200,35.32
155,116,46400,4.64
156,56,22400,2.24
157,54,21600,2.16
158,31,12400,1.24
159,39,15600,1.56
160,149,59600,5.96
161,35,14000,1.4
162,185,74000,7.4
163,43,17200,1.72
164,28,11200,1.12
165,75,30000,3.0
166,42,16800,1.68
167,189,75600,7.56
168,72,28800,2.88
169,55,22000,2.2
170,63,25200,2.52
171,180,72000,7.2
172,53,21200,2.12
173,101,40400,4.04
174,44,17600,1.76
175,189,75600,7.56
176,68,27200,2.72
177,78,31200,3.12
178,213,85200,8.52
179,167,66800,6.68
180,30,12000,1.2
181,149,59600,5.96
182,30,12000,1.2
183,81,32400,3.24
184,1825,730000,73.0
185,289,115600,11.56
186,37,14800,1.48
187,242,96800,9.68
188,29,11600,1.16
189,59,23600,2.36
190,258,103200,10.32
191,144,57600,5.76
192,39,15600,1.56
193,62,24800,2.48
194,613,245200,24.52
195,34,13600,1.36
196,57,22800,2.28
197,76,30400,3.04
198,47,18800,1.88
199,3096,1238400,123.84
200,37,14800,1.48
201,78,31200,3.12
202,229,91600,9.16
203,229,91600,9.16
204,26,10400,1.04
205,1894,757600,75.76
206,35,14000,1.4
207,27,10800,1.08
208,87,34800,3.48
209,120,48000,4.8
210,85,34000,3.4
211,40,16000,1.6
212,928,371200,37.12
213,40,16000,1.6
214,45,18000,1.8
215,343,137200,13.72
216,156,62400,6.24
217,54,21600,2.16
218,59,23600,2.36
219,205,82000,8.2
220,44,17600,1.76
221,196,78400,7.84
222,30,12000,1.2
223,32,12800,1.28
224,27,10800,1.08
225,47,18800,1.88
226,33,13200,1.32
227,46,18400,1.84
228,70,28000,2.8
229,38,15200,1.52
230,29,11600,1.16
231,38,15200,1.52
232,39,15600,1.56
233,34,13600,1.36
234,231,92400,9.24
235,26,10400,1.04
236,70,28000,2.8
237,305,122000,12.2
238,29,11600,1.16
239,331,132400,13.24
240,319,127600,12.76
241,63,25200,2.52
242,223,89200,8.92
243,26,10400,1.04
244,31,12400,1.24
245,117,46800,4.68
246,423,169200,16.92
247,404,161600,16.16
248,37,14800,1.48
249,38,15200,1.52
250,25,10000,1.0
251,25,10000,1.0
252,26,10400,1.04
253,243,97200,9.72
254,130,52000,5.2
255,67,26800,2.68
256,93,37200,3.72
257,207,82800,8.28
258,50,20000,2.0
259,41,16400,1.64
260,65,26000,2.6
261,43,17200,1.72
262,33,13200,1.32
263,574,229600,22.96
264,33,13200,1.32
265,1385,554000,55.4
266,109,43600,4.36
267,64,25600,2.56
268,792,316800,31.68
269,72,28800,2.88
270,32,12800,1.28
271,394,157600,15.76
272,25,10000,1.0
273,40,16000,1.6
274,27,10800,1.08
275,42,16800,1.68
276,56,22400,2.24
277,29,11600,1.16
278,33,13200,1.32
279,106,42400,4.24
280,28,11200,1.12
281,83,33200,3.32
282,39,15600,1.56
283,41,16400,1.64
284,30,12000,1.2
285,327,130800,13.08
286,105,42000,4.2
287,26,10400,1.04
288,27,10800,1.08
289,225,90000,9.0
290,39,15600,1.56
291,38,15200,1.52
292,90,36000,3.6
293,75,30000,3.0
294,69,27600,2.76
295,35,14000,1.4
296,32,12800,1.28
297,36,14400,1.44
298,95,38000,3.8
299,38,15200,1.52
300,44,17600,1.76
301,78,31200,3.12
302,32,12800,1.28
303,34,13600,1.36
