zone_id,pixel_count,area_m2,area_ha
1,139,55600,5.56
2,90,36000,3.6
3,30,12000,1.2
4,163,65200,6.52
5,43,17200,1.72
6,111,44400,4.44
7,27,10800,1.08
8,555,222000,22.2
9,32,12800,1.28
10,508,203200,20.32
11,145,58000,5.8
12,32,12800,1.28
13,38,15200,1.52
14,42,16800,1.68
15,90,36000,3.6
16,25,10000,1.0
17,43,17200,1.72
18,125,50000,5.0
19,72,28800,2.88
20,439,175600,17.56
21,43,17200,1.72
22,46,18400,1.84
23,424,169600,16.96
24,37,14800,1.48
25,40,16000,1.6
26,29,11600,1.16
27,35,14000,1.4
28,38,15200,1.52
29,26,10400,1.04
30,72,28800,2.88
31,31,12400,1.24
32,93,37200,3.72
33,50,20000,2.0
34,67,26800,2.68
35,34,13600,1.36
36,85,34000,3.4
37,539,215600,21.56
38,148,59200,5.92
39,561,224400,22.44
40,538,215200,21.52
41,66,26400,2.64
42,26,10400,1.04
43,305,122000,12.2
44,63,25200,2.52
45,110,44000,4.4
46,36,14400,1.44
47,33,13200,1.32
48,52,20800,2.08
49,44,17600,1.76
50,29,11600,1.16
51,30,12000,1.2
52,97,38800,3.88
53,147,58800,5.88
54,26,10400,1.04
55,30,12000,1.2
56,29,11600,1.16
57,104,41600,4.16
58,34,13600,1.36
59,34,13600,1.36
60,90,36000,3.6
61,34,13600,1.36
62,25,10000,1.0
63,82,32800,3.28
64,35,14000,1.4
65,243,97200,9.72
66,105,42000,4.2
67,49,19600,1.96
68,49,19600,1.96
69,327,130800,13.08
70,49,19600,1.96
71,39,15600,1.56
72,46,18400,1.84
73,160,64000,6.4
74,146,58400,5.84
75,26,10400,1.04
76,61,24400,2.44
77,43,17200,1.72
78,51,20400,2.04
79,207,82800,8.28
80,98,39200,3.92
81,6330,2532000,253.2
82,30,12000,1.2
83,63,25200,2.52
84,30,12000,1.2
85,57,22800,2.28
86,71,28400,2.84
87,62,24800,2.48
88,67,26800,2.68
89,28,11200,1.12
90,32,12800,1.28
91,30,12000,1.2
92,523,209200,20.92
93,383,153200,15.32
94,25,10000,1.0
95,169,67600,6.76
96,191,76400,7.64
97,44,17600,1.76
98,536,214400,21.44
99,50,20000,2.0
100,29,11600,1.16
101,127,50800,5.08
102,29,11600,1.16
103,34,13600,1.36
104,26,10400,1.04
105,83,33200,3.32
106,39,15600,1.56
107,549,219600,21.96
108,182,72800,7.28
109,85,34000,3.4
110,43,17200,1.72
111,377,150800,15.08
112,268,107200,10.72
113,1610,644000,64.4
114,46,18400,1.84
115,45,18000,1.8
116,33,13200,1.32
117,320,128000,12.8
118,69,27600,2.76
119,236,94400,9.44
120,67,26800,2.68
121,265,106000,10.6
122,57,22800,2.28
123,30,12000,1.2
124,35,14000,1.4
125,47,18800,1.88
126,69,27600,2.76
127,292,116800,11.68
128,392,156800,15.68
129,64,25600,2.56
130,30,12000,1.2
131,26,10400,1.04
132,994,397600,39.76
133,362,144800,14.48
134,683,273200,27.32
135,35,14000,1.4
136,54,21600,2.16
137,29,11600,1.16
138,901,360400,36.04
139,155,62000,6.2
140,36,14400,1.44
141,49,19600,1.96
142,222,88800,8.88
143,169,67600,6.76
144,56,22400,2.24
145,59,23600,2.36
146,50,20000,2.0
147,33,13200,1.32
148,39,15600,1.56
149,42,16800,1.68
150,43,17200,1.72
151,58,23200,2.32
152,33,13200,1.32
153,254,101600,10.16
154,26,10400,1.04
155,54,21600,2.16
156,232,92800,9.28
157,237,94800,9.48
158,25,10000,1.0
159,57,22800,2.28
160,97,38800,3.88
161,116,46400,4.64
162,31,12400,1.24
163,26,10400,1.04
164,180,72000,7.2
165,114,45600,4.56
166,42,16800,1.68
167,32,12800,1.28
168,55,22000,2.2
169,25,10000,1.0
170,26,10400,1.04
171,47,18800,1.88
172,47,18800,1.88
173,247,98800,9.88
174,29,11600,1.16
175,30,12000,1.2
176,74,29600,2.96
177,46,18400,1.84
178,172,68800,6.88
179,41,16400,1.64
180,54,21600,2.16
181,270,108000,10.8
182,1071,428400,42.84
183,29,11600,1.16
184,58,23200,2.32
185,239,95600,9.56
186,118,47200,4.72
187,191,76400,7.64
188,50,20000,2.0
189,29,11600,1.16
190,56,22400,2.24
191,33,13200,1.32
192,27,10800,1.08
193,100,40000,4.0
194,46,18400,1.84
195,199,79600,7.96
196,25,10000,1.0
197,61,24400,2.44
198,26,10400,1.04
199,53,21200,2.12
200,32,12800,1.28
201,25,10000,1.0
202,45,18000,1.8
203,47,18800,1.88
204,43,17200,1.72
205,27,10800,1.08
206,43,17200,1.72
207,107,42800,4.28
208,30,12000,1.2
