zone_id,pixel_count,area_m2,area_ha
1,140,56000,5.6
2,166,66400,6.64
3,88,35200,3.52
4,28,11200,1.12
5,103,41200,4.12
6,65,26000,2.6
7,30,12000,1.2
8,126,50400,5.04
9,48,19200,1.92
10,83,33200,3.32
11,37,14800,1.48
12,42,16800,1.68
13,323,129200,12.92
14,79,31600,3.16
15,30,12000,1.2
16,89,35600,3.56
17,91,36400,3.64
18,69,27600,2.76
19,64,25600,2.56
20,25,10000,1.0
21,45,18000,1.8
22,56,22400,2.24
23,77,30800,3.08
24,36,14400,1.44
25,111,44400,4.44
26,41,16400,1.64
27,74,29600,2.96
28,25,10000,1.0
29,28,11200,1.12
30,364,145600,14.56
31,34,13600,1.36
32,26,10400,1.04
33,47,18800,1.88
34,34,13600,1.36
35,26,10400,1.04
36,68,27200,2.72
37,170,68000,6.8
38,36,14400,1.44
39,557,222800,22.28
40,156,62400,6.24
41,65,26000,2.6
42,52,20800,2.08
43,32,12800,1.28
44,31,12400,1.24
45,42,16800,1.68
46,40,16000,1.6
47,138,55200,5.52
48,27,10800,1.08
49,962,384800,38.48
50,131,52400,5.24
51,80,32000,3.2
52,44,17600,1.76
53,28,11200,1.12
54,28,11200,1.12
55,30,12000,1.2
56,84,33600,3.36
57,300,120000,12.0
58,611,244400,24.44
59,26,10400,1.04
60,61,24400,2.44
61,31,12400,1.24
62,93,37200,3.72
63,52,20800,2.08
64,61,24400,2.44
65,47,18800,1.88
66,102,40800,4.08
67,56,22400,2.24
68,201,80400,8.04
69,359,143600,14.36
70,128,51200,5.12
71,30,12000,1.2
72,211,84400,8.44
73,514,205600,20.56
74,57,22800,2.28
75,283,113200,11.32
76,349,139600,13.96
77,68,27200,2.72
78,117,46800,4.68
79,33,13200,1.32
80,154,61600,6.16
81,53,21200,2.12
82,51,20400,2.04
83,132,52800,5.28
84,29,11600,1.16
85,29,11600,1.16
86,72,28800,2.88
87,80,32000,3.2
88,179,71600,7.16
89,31,12400,1.24
90,40,16000,1.6
91,98,39200,3.92
92,27,10800,1.08
93,48,19200,1.92
94,35,14000,1.4
95,47,18800,1.88
96,247,98800,9.88
97,62,24800,2.48
98,75,30000,3.0
99,107,42800,4.28
100,58,23200,2.32
101,1316,526400,52.64
102,42,16800,1.68
103,56,22400,2.24
104,32,12800,1.28
105,40,16000,1.6
106,38,15200,1.52
107,49,19600,1.96
108,130,52000,5.2
109,90,36000,3.6
110,27,10800,1.08
111,27,10800,1.08
112,167,66800,6.68
113,46,18400,1.84
114,393,157200,15.72
115,25,10000,1.0
116,44,17600,1.76
117,35,14000,1.4
118,26,10400,1.04
119,193,77200,7.72
120,40,16000,1.6
121,3135,1254000,125.4
122,35,14000,1.4
123,31,12400,1.24
124,28,11200,1.12
125,110,44000,4.4
126,99,39600,3.96
127,122,48800,4.88
128,36,14400,1.44
129,49,19600,1.96
130,565,226000,22.6
131,38,15200,1.52
132,174,69600,6.96
133,172,68800,6.88
134,54,21600,2.16
135,225,90000,9.0
136,26,10400,1.04
137,26,10400,1.04
138,90,36000,3.6
139,676,270400,27.04
140,91,36400,3.64
141,51,20400,2.04
142,41,16400,1.64
143,104,41600,4.16
144,34,13600,1.36
145,114,45600,4.56
146,65,26000,2.6
147,70,28000,2.8
148,36,14400,1.44
149,60,24000,2.4
150,62,24800,2.48
151,40,16000,1.6
152,34,13600,1.36
153,129,51600,5.16
154,61,24400,2.44
155,48,19200,1.92
156,30,12000,1.2
157,191,76400,7.64
158,45,18000,1.8
159,65,26000,2.6
160,78,31200,3.12
161,148,59200,5.92
162,33,13200,1.32
163,52,20800,2.08
164,56,22400,2.24
165,247,98800,9.88
166,65,26000,2.6
167,673,269200,26.92
168,38,15200,1.52
169,28,11200,1.12
170,118,47200,4.72
171,46,18400,1.84
172,41,16400,1.64
173,49,19600,1.96
174,70,28000,2.8
175,37,14800,1.48
176,75,30000,3.0
177,60,24000,2.4
178,32,12800,1.28
179,140,56000,5.6
180,45,18000,1.8
181,47,18800,1.88
182,30,12000,1.2
183,36,14400,1.44
184,41,16400,1.64
185,262,104800,10.48
186,25,10000,1.0
187,45,18000,1.8
188,72,28800,2.88
189,468,187200,18.72
190,25,10000,1.0
191,34,13600,1.36
192,30,12000,1.2
193,149,59600,5.96
194,154,61600,6.16
195,102,40800,4.08
196,32,12800,1.28
197,115,46000,4.6
198,31,12400,1.24
199,1689,675600,67.56
200,34,13600,1.36
201,31,12400,1.24
202,273,109200,10.92
203,56,22400,2.24
204,31,12400,1.24
205,31,12400,1.24
206,59,23600,2.36
207,66,26400,2.64
208,945,378000,37.8
209,35,14000,1.4
210,39,15600,1.56
211,26,10400,1.04
212,40,16000,1.6
213,259,103600,10.36
214,122,48800,4.88
215,38,15200,1.52
216,30,12000,1.2
217,31,12400,1.24
218,37,14800,1.48
219,307,122800,12.28
220,152,60800,6.08
221,25,10000,1.0
222,93,37200,3.72
223,32,12800,1.28
224,108,43200,4.32
225,476,190400,19.04
226,31,12400,1.24
227,29,11600,1.16
228,29,11600,1.16
229,37,14800,1.48
230,47,18800,1.88
231,36,14400,1.44
232,117,46800,4.68
233,61,24400,2.44
234,33,13200,1.32
235,30,12000,1.2
236,109,43600,4.36
237,50,20000,2.0
238,29,11600,1.16
239,250,100000,10.0
240,48,19200,1.92
241,131,52400,5.24
242,49,19600,1.96
243,28,11200,1.12
244,109,43600,4.36
245,132,52800,5.28
246,89,35600,3.56
247,152,60800,6.08
248,358,143200,14.32
249,90,36000,3.6
250,34,13600,1.36
251,29,11600,1.16
252,51,20400,2.04
253,48,19200,1.92
254,145,58000,5.8
255,94,37600,3.76
256,36,14400,1.44
257,50,20000,2.0
258,193,77200,7.72
259,29,11600,1.16
260,51,20400,2.04
261,37,14800,1.48
262,309,123600,12.36
263,60,24000,2.4
264,761,304400,30.44
265,60,24000,2.4
266,148,59200,5.92
267,49,19600,1.96
268,118,47200,4.72
269,91,36400,3.64
270,44,17600,1.76
271,26,10400,1.04
272,238,95200,9.52
273,127,50800,5.08
274,63,25200,2.52
275,47,18800,1.88
276,25,10000,1.0
277,54,21600,2.16
278,26,10400,1.04
279,67,26800,2.68
280,38,15200,1.52
281,30,12000,1.2
282,183,73200,7.32
283,42,16800,1.68
284,33,13200,1.32
285,137,54800,5.48
286,51,20400,2.04
287,28,11200,1.12
288,28,11200,1.12
289,89,35600,3.56
290,39,15600,1.56
291,66,26400,2.64
