merged_group_id,final_zone_id,merge_gap_pixels,merge_gap_m,min_area_ha_threshold,passes_min_area,n_original_polygons,original_polygon_ids,original_pixel_count,merged_pixel_count,added_gap_pixel_count,original_area_ha,merged_area_ha,added_gap_area_ha
1,1,3,60,2,True,1,1,128,131,3,5.12,5.24,0.12
2,2,3,60,2,True,1,2,71,93,22,2.84,3.72,0.88
3,3,3,60,2,True,1,3,104,107,3,4.16,4.28,0.12
4,4,3,60,2,True,1,4,89,122,33,3.56,4.88,1.32
5,5,3,60,2,True,1,5,56,74,18,2.24,2.96,0.72
6,6,3,60,2,True,1,6,100,120,20,4.0,4.8,0.8
7,7,3,60,2,True,4,"7,8,9,10",1422,1852,430,56.88,74.08,17.2
8,8,3,60,2,True,1,11,55,69,14,2.2,2.76,0.56
9,9,3,60,2,True,1,12,61,79,18,2.44,3.16,0.72
10,10,3,60,2,True,2,"13,14",362,436,74,14.48,17.44,2.96
11,11,3,60,2,True,1,15,126,161,35,5.04,6.44,1.4
12,12,3,60,2,True,1,16,1629,1762,133,65.16,70.48,5.32
13,13,3,60,2,True,1,17,2542,2886,344,101.68,115.44,13.76
14,14,3,60,2,True,2,"18,21",188,246,58,7.52,9.84,2.32
15,15,3,60,2,True,1,19,135,153,18,5.4,6.12,0.72
16,16,3,60,2,True,1,20,126,129,3,5.04,5.16,0.12
17,17,3,60,2,True,2,"22,28",878,1028,150,35.12,41.12,6.0
18,18,3,60,2,True,1,23,53,73,20,2.12,2.92,0.8
19,19,3,60,2,True,1,24,242,275,33,9.68,11.0,1.32
20,20,3,60,2,True,1,25,211,268,57,8.44,10.72,2.28
21,21,3,60,2,True,1,26,356,506,150,14.24,20.24,6.0
22,22,3,60,2,True,1,27,883,963,80,35.32,38.52,3.2
23,23,3,60,2,True,1,29,56,56,0,2.24,2.24,0.0
24,24,3,60,2,True,1,30,54,81,27,2.16,3.24,1.08
25,25,3,60,2,True,1,31,149,173,24,5.96,6.92,0.96
26,26,3,60,2,True,1,32,185,231,46,7.4,9.24,1.84
27,27,3,60,2,True,1,33,75,85,10,3.0,3.4,0.4
28,28,3,60,2,True,1,34,189,259,70,7.56,10.36,2.8
29,29,3,60,2,True,1,35,72,72,0,2.88,2.88,0.0
30,30,3,60,2,True,1,36,55,72,17,2.2,2.88,0.68
31,31,3,60,2,True,2,"37,38",243,312,69,9.72,12.48,2.76
32,32,3,60,2,True,1,39,53,70,17,2.12,2.8,0.68
33,33,3,60,2,True,1,40,101,136,35,4.04,5.44,1.4
34,34,3,60,2,True,1,41,189,195,6,7.56,7.8,0.24
35,35,3,60,2,True,1,42,68,68,0,2.72,2.72,0.0
36,36,3,60,2,True,10,"43,48,53,56,57,59,60,64,66,68",3691,5869,2178,147.64,234.76,87.12
37,37,3,60,2,True,2,"44,46",362,557,195,14.48,22.28,7.8
38,38,3,60,2,True,2,"45,47",248,324,76,9.92,12.96,3.04
39,39,3,60,2,True,3,"49,50,51",590,756,166,23.6,30.24,6.64
40,40,3,60,2,True,2,"52,54",320,402,82,12.8,16.08,3.28
41,41,3,60,2,True,8,"55,58,62,63,67,70,71,77",6628,8845,2217,265.12,353.8,88.68
42,42,3,60,2,True,1,61,229,285,56,9.16,11.4,2.24
43,43,3,60,2,True,1,65,85,122,37,3.4,4.88,1.48
44,44,3,60,2,True,1,69,54,58,4,2.16,2.32,0.16
45,45,3,60,2,True,2,"72,73",266,364,98,10.64,14.56,3.92
46,46,3,60,2,True,6,"74,75,76,79,80,81",1009,1496,487,40.36,59.84,19.48
47,47,3,60,2,True,1,78,319,491,172,12.76,19.64,6.88
48,48,3,60,2,True,1,82,423,505,82,16.92,20.2,3.28
49,49,3,60,2,True,1,83,404,509,105,16.16,20.36,4.2
50,50,3,60,2,True,1,84,243,268,25,9.72,10.72,1.0
51,51,3,60,2,True,1,85,130,166,36,5.2,6.64,1.44
52,52,3,60,2,True,2,"86,88",274,354,80,10.96,14.16,3.2
53,53,3,60,2,True,1,87,93,115,22,3.72,4.6,0.88
54,54,3,60,2,True,1,89,50,80,30,2.0,3.2,1.2
55,55,3,60,2,True,1,90,65,68,3,2.6,2.72,0.12
56,56,3,60,2,True,2,"91,92",1959,2310,351,78.36,92.4,14.04
57,57,3,60,2,True,1,93,109,144,35,4.36,5.76,1.4
58,58,3,60,2,True,3,"94,97,98",514,709,195,20.56,28.36,7.8
59,59,3,60,2,True,1,95,792,1160,368,31.68,46.4,14.72
60,60,3,60,2,True,1,96,72,89,17,2.88,3.56,0.68
61,61,3,60,2,True,1,99,83,83,0,3.32,3.32,0.0
62,62,3,60,2,True,1,100,58,73,15,2.32,2.92,0.6
