zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,186,74400,7.44,33.099,33.099,33.099,33.099,3.284,7.103,4.796,4.64,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
2,464,185600,18.56,33.099,33.099,33.099,33.099,3.279,7.134,5.067,4.929,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
3,302,120800,12.08,33.099,33.099,33.099,33.099,3.035,7.549,5.146,5.249,28.951,28.951,28.951,28.951,19.773,24.774,20.535,19.773
4,215,86000,8.6,33.099,33.099,33.099,33.099,3.585,6.919,5.157,5.089,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
5,114,45600,4.56,33.099,33.099,33.099,33.099,2.813,6.327,3.914,3.772,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
6,87,34800,3.48,33.099,33.099,33.099,33.099,3.412,7.221,5.233,5.21,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
7,399,159600,15.96,33.099,33.099,33.099,33.099,3.025,7.32,5.186,5.113,28.951,28.951,28.951,28.951,19.773,24.774,22.343,24.774
8,317,126800,12.68,33.099,33.099,33.099,33.099,3.655,7.185,5.087,4.987,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
9,50,20000,2.0,33.099,33.099,33.099,33.099,3.942,6.664,5.281,5.162,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
10,170,68000,6.8,33.099,33.099,33.099,33.099,3.973,6.913,5.036,5.001,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
11,50,20000,2.0,33.099,33.099,33.099,33.099,3.916,6.103,5.061,5.112,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
12,166,66400,6.64,33.08,33.08,33.08,33.08,4.331,7.001,5.283,5.225,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
13,180,72000,7.2,33.08,33.08,33.08,33.08,4.726,7.361,5.889,5.918,28.755,28.755,28.755,28.755,24.106,24.106,24.106,24.106
14,89,35600,3.56,33.099,33.099,33.099,33.099,3.742,7.83,5.803,5.639,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
15,51,20400,2.04,33.08,33.08,33.08,33.08,4.585,6.92,5.392,5.228,28.755,28.755,28.755,28.755,24.106,24.106,24.106,24.106
16,98,39200,3.92,33.099,33.099,33.099,33.099,4.139,6.432,5.155,5.089,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
17,67,26800,2.68,33.08,33.08,33.08,33.08,4.741,7.201,5.459,5.487,28.755,28.755,28.755,28.755,24.106,24.106,24.106,24.106
18,507,202800,20.28,33.031,33.031,33.031,33.031,2.674,7.693,4.918,4.899,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
19,139,55600,5.56,33.031,33.031,33.031,33.031,3.997,6.936,5.257,5.084,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
20,59,23600,2.36,32.915,32.915,32.915,32.915,3.354,6.003,4.484,4.649,28.963,28.963,28.963,28.963,16.74,16.74,16.74,16.74
21,2393,957200,95.72,32.915,32.915,32.915,32.915,2.657,5.942,3.634,3.531,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
22,85,34000,3.4,32.889,32.889,32.889,32.889,3.692,5.892,4.793,4.797,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
23,990,396000,39.6,32.889,32.889,32.889,32.889,2.638,5.982,3.866,3.786,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
24,175,70000,7.0,32.889,32.889,32.889,32.889,3.462,6.8,4.952,4.649,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
25,80,32000,3.2,32.889,32.889,32.889,32.889,2.987,3.924,3.443,3.466,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
26,171,68400,6.84,32.889,32.889,32.889,32.889,3.709,5.864,4.491,4.487,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
27,2290,916000,91.6,32.889,32.889,32.889,32.889,3.102,6.532,4.549,4.36,28.926,28.926,28.926,28.926,16.88,19.211,18.805,19.211
28,72,28800,2.88,32.889,32.889,32.889,32.889,4.17,6.888,4.93,4.8,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
29,76,30400,3.04,32.889,32.889,32.889,32.889,3.801,5.451,4.489,4.599,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
30,121,48400,4.84,32.889,32.889,32.889,32.889,3.887,5.8,4.605,4.606,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
31,4330,1732000,173.2,32.868,32.868,32.868,32.868,2.89,7.217,4.226,3.878,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
32,68,27200,2.72,32.868,32.868,32.868,32.868,3.343,6.175,4.323,4.084,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
33,82,32800,3.28,32.868,32.868,32.868,32.868,3.465,4.679,4.193,4.163,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
34,1315,526000,52.6,32.868,32.868,32.868,32.868,2.944,6.142,4.164,4.164,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
35,1410,564000,56.4,32.868,32.868,32.868,32.868,2.816,6.455,4.226,4.111,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
36,96,38400,3.84,32.868,32.868,32.868,32.868,3.489,6.57,4.58,4.359,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
37,45775,18310000,1831.0,32.868,32.868,32.868,32.868,2.361,8.077,4.46,4.575,29.014,29.014,29.014,29.014,11.768,22.65,17.5,20.609
38,813,325200,32.52,32.868,32.868,32.868,32.868,2.754,6.447,4.513,4.515,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
39,142,56800,5.68,32.868,32.868,32.868,32.868,3.195,6.397,4.092,3.939,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
40,74,29600,2.96,32.868,32.868,32.868,32.868,3.543,6.423,5.036,5.098,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
41,72,28800,2.88,32.868,32.868,32.868,32.868,3.913,5.209,4.735,4.839,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
42,1184,473600,47.36,32.868,32.868,32.868,32.868,2.933,6.43,4.683,4.887,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
43,134,53600,5.36,32.868,32.868,32.868,32.868,4.383,5.18,4.683,4.675,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
44,422,168800,16.88,32.868,32.868,32.868,32.868,2.713,5.274,3.945,3.902,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
45,89,35600,3.56,32.868,32.868,32.868,32.868,3.607,5.988,5.241,5.313,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
46,84,33600,3.36,32.868,32.868,32.868,32.868,4.558,5.719,5.051,4.984,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
47,827,330800,33.08,32.868,32.868,32.868,32.868,2.678,5.548,4.669,4.888,29.014,29.014,29.014,29.014,12.257,22.65,22.574,22.65
48,1029,411600,41.16,32.868,32.868,32.868,32.868,3.479,6.356,4.858,4.902,29.014,29.014,29.014,29.014,20.609,22.65,21.287,20.609
49,813,325200,32.52,32.868,32.868,32.868,32.868,4.092,6.861,5.039,4.989,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
50,68,27200,2.72,32.868,32.868,32.868,32.868,2.62,3.955,3.163,3.053,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
51,149,59600,5.96,32.868,32.868,32.868,32.868,3.855,5.555,4.508,4.472,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
52,145,58000,5.8,32.868,32.868,32.868,32.868,3.407,6.998,4.662,4.392,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
53,1006,402400,40.24,32.868,32.868,32.868,32.868,2.29,6.344,4.511,4.701,29.014,29.014,29.014,29.014,10.787,11.768,11.61,11.768
54,845,338000,33.8,32.868,32.868,32.868,32.868,2.734,5.799,4.042,3.997,29.014,29.014,29.014,29.014,17.128,20.609,19.311,20.609
55,184,73600,7.36,32.868,32.868,32.868,32.868,2.767,5.693,3.952,3.932,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
56,65,26000,2.6,32.868,32.868,32.868,32.868,2.945,5.042,4.156,4.222,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
57,93,37200,3.72,32.868,32.868,32.868,32.868,2.902,6.652,4.615,4.816,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
58,53,21200,2.12,32.868,32.868,32.868,32.868,4.284,6.064,5.115,5.023,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
59,73,29200,2.92,32.868,32.868,32.868,32.868,2.697,4.389,3.569,3.555,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
60,229,91600,9.16,32.868,32.868,32.868,32.868,2.572,5.465,3.964,3.702,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
61,544,217600,21.76,32.868,32.868,32.868,32.868,2.385,5.481,3.913,3.709,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
62,221,88400,8.84,32.868,32.868,32.868,32.868,3.925,6.743,4.995,4.915,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
63,92,36800,3.68,32.868,32.868,32.868,32.868,3.848,5.325,4.795,4.919,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
64,1610,644000,64.4,32.868,32.868,32.868,32.868,2.309,6.357,4.462,4.749,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
65,217,86800,8.68,32.868,32.868,32.868,32.868,4.157,5.575,4.995,4.997,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
66,115,46000,4.6,32.868,32.868,32.868,32.868,3.745,5.491,4.753,4.863,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
67,213,85200,8.52,32.868,32.868,32.868,32.868,4.107,6.229,5.071,4.997,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
68,348,139200,13.92,32.868,32.868,32.868,32.868,2.833,5.555,4.336,4.25,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
69,65,26000,2.6,32.868,32.868,32.868,32.868,4.377,5.45,4.986,4.984,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
70,106,42400,4.24,32.868,32.868,32.868,32.868,4.842,5.443,5.138,5.13,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
71,74,29600,2.96,32.868,32.868,32.868,32.868,4.059,4.956,4.546,4.573,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
72,5639,2255600,225.56,32.866,32.868,32.867,32.866,2.49,5.971,4.481,4.643,29.014,29.073,29.047,29.073,13.171,17.128,14.926,13.171
73,196,78400,7.84,32.874,32.874,32.874,32.874,3.871,5.911,5.117,5.083,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
74,5143,2057200,205.72,32.874,32.874,32.874,32.874,2.632,6.915,4.53,4.58,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
75,83,33200,3.32,32.874,32.874,32.874,32.874,4.134,5.33,4.93,4.948,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
76,76,30400,3.04,32.874,32.874,32.874,32.874,4.372,5.419,4.898,4.9,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
77,390,156000,15.6,32.874,32.874,32.874,32.874,3.864,6.538,5.091,5.085,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
78,318,127200,12.72,32.874,32.874,32.874,32.874,4.639,6.007,5.15,5.129,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
