zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,105,42000,4.2,33.099,33.099,33.099,33.099,3.284,4.993,4.314,4.354,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
2,118,47200,4.72,33.099,33.099,33.099,33.099,3.482,4.99,4.507,4.558,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
3,89,35600,3.56,33.099,33.099,33.099,33.099,3.279,4.967,4.186,4.197,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
4,81,32400,3.24,33.099,33.099,33.099,33.099,3.035,4.98,4.187,4.277,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
5,105,42000,4.2,33.099,33.099,33.099,33.099,3.013,4.929,3.828,3.767,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
6,124,49600,4.96,33.099,33.099,33.099,33.099,3.623,5.0,4.506,4.601,28.951,28.951,28.951,28.951,19.773,24.774,24.653,24.774
7,277,110800,11.08,33.031,33.031,33.031,33.031,3.012,4.999,4.307,4.365,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
8,56,22400,2.24,32.915,32.915,32.915,32.915,3.354,4.992,4.42,4.615,28.963,28.963,28.963,28.963,16.74,16.74,16.74,16.74
9,2271,908400,90.84,32.915,32.915,32.915,32.915,3.003,4.997,3.631,3.537,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
10,50,20000,2.0,32.889,32.889,32.889,32.889,3.692,4.977,4.475,4.445,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
11,935,374000,37.4,32.889,32.889,32.889,32.889,3.002,4.971,3.816,3.772,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
12,55,22000,2.2,32.889,32.889,32.889,32.889,3.462,4.924,4.135,4.112,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
13,76,30400,3.04,32.889,32.889,32.889,32.889,3.002,3.924,3.446,3.466,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
14,157,62800,6.28,32.889,32.889,32.889,32.889,3.709,4.893,4.415,4.467,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
15,1565,626000,62.6,32.889,32.889,32.889,32.889,3.102,4.996,4.14,4.154,28.926,28.926,28.926,28.926,16.88,19.211,18.761,19.211
16,68,27200,2.72,32.889,32.889,32.889,32.889,3.801,4.985,4.414,4.262,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
17,103,41200,4.12,32.889,32.889,32.889,32.889,3.887,4.974,4.499,4.49,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
18,3195,1278000,127.8,32.868,32.868,32.868,32.868,3.002,4.996,3.771,3.707,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
19,82,32800,3.28,32.868,32.868,32.868,32.868,3.465,4.679,4.193,4.163,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
20,1236,494400,49.44,32.868,32.868,32.868,32.868,3.011,4.98,4.092,4.143,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
21,666,266400,26.64,32.868,32.868,32.868,32.868,3.007,4.986,3.914,3.882,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
22,71,28400,2.84,32.868,32.868,32.868,32.868,3.745,4.997,4.37,4.31,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
23,2618,1047200,104.72,32.868,32.868,32.868,32.868,3.003,4.998,4.127,4.197,29.014,29.014,29.014,29.014,12.257,22.65,17.922,22.65
24,85,34000,3.4,32.868,32.868,32.868,32.868,4.017,4.981,4.609,4.61,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
25,427,170800,17.08,32.868,32.868,32.868,32.868,3.006,4.993,3.944,3.924,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
26,55,22000,2.2,32.868,32.868,32.868,32.868,4.514,4.994,4.857,4.881,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
27,125,50000,5.0,32.868,32.868,32.868,32.868,3.195,4.83,3.906,3.876,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
28,66,26400,2.64,32.868,32.868,32.868,32.868,3.913,4.994,4.7,4.797,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
29,1895,758000,75.8,32.868,32.868,32.868,32.868,3.316,5.0,4.671,4.778,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
30,185,74000,7.4,32.868,32.868,32.868,32.868,3.63,4.991,4.414,4.465,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
31,248,99200,9.92,32.868,32.868,32.868,32.868,3.061,4.996,3.89,3.877,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
32,227,90800,9.08,32.868,32.868,32.868,32.868,3.131,4.97,3.702,3.599,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
33,396,158400,15.84,32.868,32.868,32.868,32.868,3.382,4.994,4.54,4.633,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
34,132,52800,5.28,32.868,32.868,32.868,32.868,4.383,4.956,4.676,4.67,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
35,73,29200,2.92,32.868,32.868,32.868,32.868,4.193,4.987,4.563,4.544,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
36,217,86800,8.68,32.868,32.868,32.868,32.868,3.13,4.986,3.688,3.507,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
37,332,132800,13.28,32.868,32.868,32.868,32.868,3.001,4.993,3.951,3.895,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
38,78,31200,3.12,32.868,32.868,32.868,32.868,3.205,4.996,4.048,3.826,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
39,60,24000,2.4,32.868,32.868,32.868,32.868,3.261,5.0,4.725,4.857,29.014,29.014,29.014,29.014,12.257,22.65,21.61,22.65
40,79,31600,3.16,32.868,32.868,32.868,32.868,4.213,4.98,4.653,4.666,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
41,7180,2872000,287.2,32.868,32.868,32.868,32.868,3.0,5.0,3.82,3.775,29.014,29.014,29.014,29.014,20.609,22.65,20.788,20.609
42,18731,7492400,749.24,32.868,32.868,32.868,32.868,3.001,5.0,4.28,4.379,29.014,29.014,29.014,29.014,11.768,20.609,17.117,20.609
43,398,159200,15.92,32.868,32.868,32.868,32.868,3.027,4.998,4.492,4.689,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
44,120,48000,4.8,32.868,32.868,32.868,32.868,3.331,4.984,4.471,4.622,29.014,29.014,29.014,29.014,11.768,12.257,12.147,12.257
45,75,30000,3.0,32.868,32.868,32.868,32.868,3.891,5.0,4.632,4.681,29.014,29.014,29.014,29.014,20.609,22.65,21.316,20.609
46,424,169600,16.96,32.868,32.868,32.868,32.868,3.479,4.995,4.36,4.318,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
47,56,22400,2.24,32.868,32.868,32.868,32.868,4.548,4.994,4.854,4.87,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
48,327,130800,13.08,32.868,32.868,32.868,32.868,3.987,4.998,4.665,4.694,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
49,249,99600,9.96,32.868,32.868,32.868,32.868,4.27,5.0,4.779,4.82,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
50,109,43600,4.36,32.868,32.868,32.868,32.868,3.089,4.992,4.149,3.989,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
51,115,46000,4.6,32.868,32.868,32.868,32.868,3.986,4.996,4.542,4.541,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
52,82,32800,3.28,32.868,32.868,32.868,32.868,4.215,4.995,4.767,4.8,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
53,54,21600,2.16,32.868,32.868,32.868,32.868,4.137,4.984,4.749,4.78,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
54,216,86400,8.64,32.868,32.868,32.868,32.868,3.131,4.986,3.867,3.763,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
55,52,20800,2.08,32.868,32.868,32.868,32.868,3.33,4.8,4.078,4.121,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
56,139,55600,5.56,32.868,32.868,32.868,32.868,3.855,4.982,4.458,4.452,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
57,73,29200,2.92,32.868,32.868,32.868,32.868,3.407,4.895,4.245,4.222,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
58,702,280800,28.08,32.868,32.868,32.868,32.868,3.001,4.998,4.33,4.404,29.014,29.014,29.014,29.014,10.787,11.768,11.607,11.768
59,707,282800,28.28,32.868,32.868,32.868,32.868,3.003,5.0,3.983,3.978,29.014,29.014,29.014,29.014,17.128,20.609,19.339,20.609
60,154,61600,6.16,32.868,32.868,32.868,32.868,3.044,4.959,3.836,3.903,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
