zone_id,original_pixel_count,extension_pixel_count,original_area_ha,extension_area_ha,merged_area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,27,8,1.08,0.32,1.4,33.099,33.099,33.099,33.099,4.351,4.965,4.703,4.757,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
2,128,44,5.12,1.76,6.88,33.099,33.099,33.099,33.099,3.482,4.948,4.423,4.451,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
3,71,45,2.84,1.8,4.64,33.099,33.099,33.099,33.099,3.276,4.955,4.358,4.382,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
4,104,35,4.16,1.4,5.56,33.099,33.099,33.099,33.099,3.281,4.979,4.317,4.374,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
5,28,5,1.12,0.2,1.32,33.099,33.099,33.099,33.099,4.313,4.995,4.549,4.459,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
6,29,24,1.16,0.96,2.12,33.099,33.099,33.099,33.099,3.969,4.969,4.572,4.569,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
7,47,20,1.88,0.8,2.68,33.099,33.099,33.099,33.099,3.947,4.883,4.608,4.623,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
8,32,12,1.28,0.48,1.76,33.099,33.099,33.099,33.099,3.306,4.999,4.577,4.733,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
9,32,12,1.28,0.48,1.76,33.099,33.099,33.099,33.099,4.161,4.93,4.585,4.619,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
10,89,24,3.56,0.96,4.52,33.099,33.099,33.099,33.099,4.036,4.936,4.558,4.636,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
11,26,5,1.04,0.2,1.24,33.08,33.08,33.08,33.08,4.666,4.938,4.838,4.88,28.755,28.755,28.755,28.755,24.106,24.106,24.106,24.106
12,56,4,2.24,0.16,2.4,33.099,33.099,33.099,33.099,4.232,4.927,4.719,4.858,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
13,100,16,4.0,0.64,4.64,33.031,33.031,33.031,33.031,3.696,4.969,4.263,4.164,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
14,35,18,1.4,0.72,2.12,33.055,33.055,33.055,33.055,4.084,4.839,4.482,4.455,28.874,28.874,28.874,28.874,18.716,18.716,18.716,18.716
15,594,199,23.76,7.96,31.72,32.915,32.915,32.915,32.915,3.066,4.951,3.561,3.455,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
16,688,236,27.52,9.44,36.96,32.915,32.915,32.915,32.915,3.007,4.809,3.663,3.671,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
17,63,52,2.52,2.08,4.6,32.915,32.915,32.915,32.915,3.005,3.923,3.313,3.247,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
18,77,59,3.08,2.36,5.44,32.915,32.915,32.915,32.915,3.069,4.973,4.284,4.297,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
19,55,32,2.2,1.28,3.48,32.889,32.889,32.889,32.889,3.251,4.912,4.123,4.188,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
20,61,52,2.44,2.08,4.52,32.889,32.889,32.889,32.889,3.305,4.824,4.072,4.104,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
21,82,80,3.28,3.2,6.48,32.889,32.889,32.889,32.889,3.035,4.647,3.785,3.797,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
22,35,42,1.4,1.68,3.08,32.889,32.889,32.889,32.889,3.088,4.808,3.896,3.804,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
23,280,105,11.2,4.2,15.4,32.889,32.889,32.889,32.889,3.02,4.854,3.58,3.546,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
24,49,49,1.96,1.96,3.92,32.889,32.889,32.889,32.889,3.176,4.564,3.798,3.757,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
25,42,27,1.68,1.08,2.76,32.889,32.889,32.889,32.889,3.55,4.936,4.149,4.065,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
26,126,61,5.04,2.44,7.48,32.889,32.889,32.889,32.889,3.911,4.974,4.577,4.593,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
27,1629,150,65.16,6.0,71.16,32.889,32.889,32.889,32.889,3.342,4.994,4.34,4.372,28.926,28.926,28.926,28.926,16.88,19.211,18.729,19.211
28,30,41,1.2,1.64,2.84,32.889,32.889,32.889,32.889,4.075,4.98,4.573,4.635,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
29,29,17,1.16,0.68,1.84,32.889,32.889,32.889,32.889,3.973,4.985,4.437,4.242,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
30,36,38,1.44,1.52,2.96,32.889,32.889,32.889,32.889,3.801,4.985,4.573,4.707,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
31,36,30,1.44,1.2,2.64,32.868,32.868,32.868,32.868,3.343,4.987,3.924,3.738,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
32,2542,306,101.68,12.24,113.92,32.868,32.868,32.868,32.868,3.014,4.975,3.601,3.55,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
33,119,79,4.76,3.16,7.92,32.868,32.868,32.868,32.868,3.212,4.98,4.078,4.086,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
34,135,81,5.4,3.24,8.64,32.868,32.868,32.868,32.868,3.454,4.936,4.324,4.412,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
35,126,61,5.04,2.44,7.48,32.868,32.868,32.868,32.868,3.379,4.716,4.113,4.195,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
36,69,59,2.76,2.36,5.12,32.868,32.868,32.868,32.868,3.244,4.678,3.985,4.036,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
37,46,32,1.84,1.28,3.12,32.868,32.868,32.868,32.868,3.88,4.84,4.373,4.334,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
38,32,32,1.28,1.28,2.56,32.868,32.868,32.868,32.868,3.472,4.315,3.879,3.926,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
39,762,207,30.48,8.28,38.76,32.868,32.868,32.868,32.868,3.043,4.991,4.164,4.193,29.014,29.014,29.014,29.014,12.257,22.65,13.914,12.257
40,53,45,2.12,1.8,3.92,32.868,32.868,32.868,32.868,4.03,4.981,4.513,4.371,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
