zone_id,pixel_count,area_m2,area_ha
1,178,71200,7.12
2,123,49200,4.92
3,141,56400,5.64
4,54,21600,2.16
5,74,29600,2.96
6,50,20000,2.0
7,134,53600,5.36
8,63,25200,2.52
9,118,47200,4.72
10,53,21200,2.12
11,2142,856800,85.68
12,91,36400,3.64
13,120,48000,4.8
14,752,300800,30.08
15,69,27600,2.76
16,192,76800,7.68
17,1803,721200,72.12
18,80,32000,3.2
19,81,32400,3.24
20,75,30000,3.0
21,2900,1160000,116.0
22,966,386400,38.64
23,188,75200,7.52
24,80,32000,3.2
25,64,25600,2.56
26,1029,411600,41.16
27,105,42000,4.2
28,367,146800,14.68
29,504,201600,20.16
30,117,46800,4.68
31,1185,474000,47.4
32,309,123600,12.36
33,219,87600,8.76
34,93,37200,3.72
35,64,25600,2.56
36,225,90000,9.0
37,66,26400,2.64
38,298,119200,11.92
39,86,34400,3.44
40,110,44000,4.4
41,448,179200,17.92
42,104,41600,4.16
43,133,53200,5.32
44,86,34400,3.44
45,231,92400,9.24
46,102,40800,4.08
47,203,81200,8.12
48,65,26000,2.6
49,270,108000,10.8
50,96,38400,3.84
51,3645,1458000,145.8
52,306,122400,12.24
53,225,90000,9.0
54,218,87200,8.72
55,108,43200,4.32
56,830,332000,33.2
57,83,33200,3.32
58,455,182000,18.2
59,63,25200,2.52
60,10419,4167600,416.76
61,69,27600,2.76
62,85,34000,3.4
63,89,35600,3.56
64,372,148800,14.88
65,297,118800,11.88
66,142,56800,5.68
67,131,52400,5.24
68,1167,466800,46.68
69,58,23200,2.32
70,80,32000,3.2
71,308,123200,12.32
72,56,22400,2.24
73,67,26800,2.68
74,164,65600,6.56
75,358,143200,14.32
76,80,32000,3.2
77,1994,797600,79.76
78,64,25600,2.56
79,58,23200,2.32
80,589,235600,23.56
81,66,26400,2.64
82,66,26400,2.64
83,617,246800,24.68
84,672,268800,26.88
85,70,28000,2.8
86,56,22400,2.24
87,59,23600,2.36
88,80,32000,3.2
89,379,151600,15.16
90,183,73200,7.32
91,423,169200,16.92
92,152,60800,6.08
93,94,37600,3.76
94,90,36000,3.6
95,114,45600,4.56
96,81,32400,3.24
97,50,20000,2.0
98,834,333600,33.36
99,1857,742800,74.28
100,123,49200,4.92
101,870,348000,34.8
102,1082,432800,43.28
103,134,53600,5.36
104,59,23600,2.36
105,71,28400,2.84
106,71,28400,2.84
107,98,39200,3.92
108,51,20400,2.04
109,104,41600,4.16
110,62,24800,2.48
111,65,26000,2.6
112,104,41600,4.16
113,196,78400,7.84
114,59,23600,2.36
