merged_group_id,final_zone_id,merge_gap_pixels,merge_gap_m,min_area_ha_threshold,passes_min_area,n_original_polygons,original_polygon_ids,original_pixel_count,merged_pixel_count,added_gap_pixel_count,original_area_ha,merged_area_ha,added_gap_area_ha
1,1,3,60,2,True,4,"1,2,3,4",1248,1643,395,49.92,65.72,15.8
2,,3,60,2,False,1,5,34,43,9,1.36,1.72,0.36
3,2,3,60,2,True,3,"6,8,9",374,514,140,14.96,20.56,5.6
4,,3,60,2,False,1,7,35,35,0,1.4,1.4,0.0
5,3,3,60,2,True,1,10,49,56,7,1.96,2.24,0.28
6,4,3,60,2,True,1,11,327,327,0,13.08,13.08,0.0
7,5,3,60,2,True,1,12,49,52,3,1.96,2.08,0.12
8,6,3,60,2,True,2,"13,14",217,260,43,8.68,10.4,1.72
9,7,3,60,2,True,1,15,2533,2804,271,101.32,112.16,10.84
10,8,3,60,2,True,1,16,57,70,13,2.28,2.8,0.52
11,9,3,60,2,True,1,17,71,77,6,2.84,3.08,0.24
12,10,3,60,2,True,1,18,62,62,0,2.48,2.48,0.0
13,11,3,60,2,True,1,19,67,71,4,2.68,2.84,0.16
14,,3,60,2,False,1,20,28,28,0,1.12,1.12,0.0
15,,3,60,2,False,1,21,32,35,3,1.28,1.4,0.12
16,12,3,60,2,True,2,"22,24",413,672,259,16.52,26.88,10.36
17,13,3,60,2,True,1,23,523,555,32,20.92,22.2,1.28
18,14,3,60,2,True,2,"25,27",216,265,49,8.64,10.6,1.96
19,15,3,60,2,True,1,26,169,224,55,6.76,8.96,2.2
20,16,3,60,2,True,1,28,44,78,34,1.76,3.12,1.36
21,17,3,60,2,True,1,29,536,638,102,21.44,25.52,4.08
22,18,3,60,2,True,1,30,50,50,0,2.0,2.0,0.0
23,,3,60,2,False,1,31,29,41,12,1.16,1.64,0.48
24,19,3,60,2,True,2,"32,35",153,190,37,6.12,7.6,1.48
25,,3,60,2,False,1,33,29,35,6,1.16,1.4,0.24
26,,3,60,2,False,1,34,34,46,12,1.36,1.84,0.48
27,20,3,60,2,True,2,"36,38",632,784,152,25.28,31.36,6.08
28,,3,60,2,False,1,37,39,47,8,1.56,1.88,0.32
29,21,3,60,2,True,1,39,182,185,3,7.28,7.4,0.12
30,22,3,60,2,True,1,40,85,96,11,3.4,3.84,0.44
31,,3,60,2,False,1,41,43,47,4,1.72,1.88,0.16
32,23,3,60,2,True,3,"42,48,49",766,952,186,30.64,38.08,7.44
33,24,3,60,2,True,2,"43,46",313,442,129,12.52,17.68,5.16
34,25,3,60,2,True,11,"44,50,56,59,60,65,66,68,70,72,73",3522,4837,1315,140.88,193.48,52.6
35,,3,60,2,False,1,45,46,46,0,1.84,1.84,0.0
36,,3,60,2,False,1,47,33,36,3,1.32,1.44,0.12
37,26,3,60,2,True,1,51,67,67,0,2.68,2.68,0.0
38,27,3,60,2,True,4,"52,58,64,67",973,1303,330,38.92,52.12,13.2
39,28,3,60,2,True,1,53,57,57,0,2.28,2.28,0.0
40,,3,60,2,False,1,54,30,30,0,1.2,1.2,0.0
41,,3,60,2,False,1,55,35,35,0,1.4,1.4,0.0
42,29,3,60,2,True,1,57,69,76,7,2.76,3.04,0.28
43,30,3,60,2,True,2,"61,62",56,79,23,2.24,3.16,0.92
44,31,3,60,2,True,3,"63,71,74",1199,1565,366,47.96,62.6,14.64
45,32,3,60,2,True,3,"69,77,81",994,1270,276,39.76,50.8,11.04
46,33,3,60,2,True,1,75,56,73,17,2.24,2.92,0.68
47,34,3,60,2,True,1,76,59,66,7,2.36,2.64,0.28
48,,3,60,2,False,1,78,33,33,0,1.32,1.32,0.0
49,,3,60,2,False,1,79,39,39,0,1.56,1.56,0.0
50,35,3,60,2,True,3,"80,82,83",133,217,84,5.32,8.68,3.36
51,36,3,60,2,True,1,84,254,303,49,10.16,12.12,1.96
52,,3,60,2,False,1,85,26,30,4,1.04,1.2,0.16
53,37,3,60,2,True,2,"86,90",111,182,71,4.44,7.28,2.84
54,38,3,60,2,True,1,87,232,382,150,9.28,15.28,6.0
55,39,3,60,2,True,1,88,237,267,30,9.48,10.68,1.2
56,40,3,60,2,True,2,"89,91",122,159,37,4.88,6.36,1.48
57,41,3,60,2,True,1,92,116,152,36,4.64,6.08,1.44
58,,3,60,2,False,1,93,31,34,3,1.24,1.36,0.12
