zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,138,55200,5.52,32.915,32.915,32.915,32.915,3.1,4.995,4.111,4.133,28.963,28.963,28.963,28.963,16.74,16.74,16.74,16.74
2,166,66400,6.64,32.915,32.915,32.915,32.915,3.042,4.992,4.037,4.081,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
3,3600,1440000,144.0,32.915,32.915,32.915,32.915,3.006,4.998,4.089,4.124,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
4,98,39200,3.92,32.889,32.889,32.889,32.889,3.007,4.991,3.847,3.821,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
5,5612,2244800,224.48,32.889,32.889,32.889,32.889,3.001,4.999,4.083,4.107,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
6,63,25200,2.52,32.889,32.889,32.889,32.889,3.292,4.985,4.311,4.362,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
7,56,22400,2.24,32.889,32.889,32.889,32.889,3.918,4.971,4.49,4.493,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
8,151,60400,6.04,32.889,32.889,32.889,32.889,3.76,5.0,4.484,4.51,28.926,28.926,28.926,28.926,19.211,19.211,19.211,19.211
9,183,73200,7.32,32.889,32.889,32.889,32.889,3.255,4.996,4.356,4.386,28.926,28.926,28.926,28.926,19.211,19.211,19.211,19.211
10,269,107600,10.76,32.889,32.889,32.889,32.889,4.004,4.999,4.622,4.637,28.926,28.926,28.926,28.926,16.88,19.211,18.466,19.211
11,54,21600,2.16,32.889,32.889,32.889,32.889,3.747,4.989,4.496,4.551,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
12,51,20400,2.04,32.868,32.889,32.888,32.889,4.462,4.997,4.83,4.865,28.926,29.014,28.931,28.926,12.257,16.88,16.608,16.88
13,41920,16768000,1676.8,32.868,32.868,32.868,32.868,3.0,5.0,4.389,4.451,29.014,29.014,29.014,29.014,11.768,22.65,21.256,20.609
14,86,34400,3.44,32.868,32.868,32.868,32.868,4.109,4.997,4.579,4.561,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
15,202,80800,8.08,32.868,32.868,32.868,32.868,3.867,4.994,4.57,4.643,29.014,29.014,29.014,29.014,12.257,22.65,17.453,17.453
16,123,49200,4.92,32.868,32.868,32.868,32.868,4.115,4.995,4.653,4.677,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
17,61,24400,2.44,32.868,32.868,32.868,32.868,3.898,4.995,4.474,4.445,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
18,3849,1539600,153.96,32.868,32.868,32.868,32.868,3.32,5.0,4.452,4.506,29.014,29.014,29.014,29.014,12.257,22.65,21.054,22.65
19,114,45600,4.56,32.868,32.868,32.868,32.868,3.808,4.988,4.519,4.529,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
20,242,96800,9.68,32.868,32.868,32.868,32.868,4.122,4.997,4.716,4.749,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
21,268,107200,10.72,32.868,32.868,32.868,32.868,3.865,4.997,4.688,4.732,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
22,67,26800,2.68,32.868,32.868,32.868,32.868,4.306,4.979,4.759,4.814,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
23,63,25200,2.52,32.868,32.868,32.868,32.868,4.639,4.997,4.853,4.88,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
24,241,96400,9.64,32.868,32.868,32.868,32.868,4.452,4.999,4.78,4.794,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
25,60,24000,2.4,32.868,32.868,32.868,32.868,4.258,4.993,4.803,4.849,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
26,58,23200,2.32,32.868,32.868,32.868,32.868,4.448,4.999,4.771,4.81,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
27,108,43200,4.32,32.868,32.868,32.868,32.868,4.234,4.999,4.756,4.796,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
28,63,25200,2.52,32.868,32.868,32.868,32.868,4.41,4.991,4.792,4.771,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
29,75,30000,3.0,32.868,32.868,32.868,32.868,4.217,4.998,4.725,4.789,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
30,60,24000,2.4,32.868,32.868,32.868,32.868,3.881,4.988,4.686,4.715,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
31,736,294400,29.44,32.868,32.868,32.868,32.868,3.678,4.999,4.589,4.654,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
32,56,22400,2.24,32.868,32.868,32.868,32.868,4.324,4.999,4.715,4.726,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
33,122,48800,4.88,32.868,32.868,32.868,32.868,3.877,4.998,4.597,4.62,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
34,128,51200,5.12,32.868,32.868,32.868,32.868,3.98,4.998,4.585,4.627,29.014,29.014,29.014,29.014,11.768,20.609,16.81,20.609
35,70,28000,2.8,32.868,32.868,32.868,32.868,4.144,4.999,4.72,4.752,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
36,111,44400,4.44,32.868,32.868,32.868,32.868,3.528,5.0,4.622,4.758,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
37,384,153600,15.36,32.868,32.868,32.868,32.868,3.47,4.996,4.522,4.597,29.014,29.014,29.014,29.014,11.768,20.609,19.435,20.609
38,56,22400,2.24,32.868,32.868,32.868,32.868,4.055,4.971,4.706,4.8,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
39,68,27200,2.72,32.868,32.868,32.868,32.868,3.988,4.997,4.667,4.724,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
40,623,249200,24.92,32.868,32.868,32.868,32.868,3.743,4.998,4.58,4.643,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
41,115,46000,4.6,32.868,32.868,32.868,32.868,3.253,4.994,4.484,4.57,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
42,451,180400,18.04,32.868,32.868,32.868,32.868,3.54,4.99,4.445,4.463,29.014,29.014,29.014,29.014,17.128,20.609,19.598,20.609
43,470,188000,18.8,32.868,32.868,32.868,32.868,3.272,5.0,4.468,4.555,29.014,29.014,29.014,29.014,10.787,11.768,11.3,11.768
44,6527,2610800,261.08,32.868,32.868,32.868,32.868,3.0,5.0,4.2,4.198,29.014,29.014,29.014,29.014,17.128,20.609,17.233,17.128
45,109,43600,4.36,32.868,32.868,32.868,32.868,3.282,4.977,4.485,4.552,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
46,123,49200,4.92,32.868,32.868,32.868,32.868,3.703,4.989,4.54,4.53,29.014,29.014,29.014,29.014,10.787,17.128,11.509,10.787
47,63,25200,2.52,32.868,32.868,32.868,32.868,3.362,4.992,4.42,4.472,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
48,77,30800,3.08,32.868,32.868,32.868,32.868,3.94,4.999,4.655,4.729,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
49,180,72000,7.2,32.868,32.868,32.868,32.868,3.518,4.998,4.433,4.485,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
50,273,109200,10.92,32.868,32.868,32.868,32.868,3.737,5.0,4.565,4.625,29.014,29.014,29.014,29.014,10.787,17.128,12.668,10.787
51,225,90000,9.0,32.868,32.868,32.868,32.868,3.172,4.997,4.449,4.535,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
52,59,23600,2.36,32.868,32.868,32.868,32.868,3.638,4.997,4.363,4.379,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
53,70,28000,2.8,32.868,32.868,32.868,32.868,4.054,4.986,4.658,4.701,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
54,81,32400,3.24,32.868,32.868,32.868,32.868,3.855,4.993,4.621,4.682,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
55,88,35200,3.52,32.868,32.868,32.868,32.868,3.428,5.0,4.206,4.162,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
56,65,26000,2.6,32.868,32.868,32.868,32.868,3.793,4.961,4.44,4.481,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
57,71,28400,2.84,32.868,32.868,32.868,32.868,4.212,4.988,4.776,4.795,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
58,63,25200,2.52,32.868,32.868,32.868,32.868,3.867,4.979,4.506,4.519,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
59,276,110400,11.04,32.868,32.868,32.868,32.868,3.788,4.99,4.65,4.697,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
60,860,344000,34.4,32.868,32.868,32.868,32.868,3.063,4.998,4.552,4.625,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
61,154,61600,6.16,32.868,32.868,32.868,32.868,3.252,4.997,4.656,4.749,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
62,379,151600,15.16,32.868,32.868,32.868,32.868,3.594,4.999,4.593,4.659,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
