zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,2228,891200,89.12,32.915,32.915,32.915,32.915,2.756,6.573,4.199,4.152,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
2,892,356800,35.68,32.889,32.889,32.889,32.889,2.856,6.817,4.387,4.25,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
3,50,20000,2.0,32.889,32.889,32.889,32.889,3.187,6.256,4.494,4.555,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
4,717,286800,28.68,32.889,32.889,32.889,32.889,2.819,8.133,4.128,4.087,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
5,53,21200,2.12,32.889,32.889,32.889,32.889,3.918,5.509,4.623,4.6,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
6,418,167200,16.72,32.889,32.889,32.889,32.889,4.004,7.358,4.923,4.805,28.926,28.926,28.926,28.926,16.88,19.211,18.168,19.211
7,75,30000,3.0,32.889,32.889,32.889,32.889,4.645,6.72,5.466,5.257,28.926,28.926,28.926,28.926,16.88,19.211,19.118,19.211
8,3819,1527600,152.76,32.868,32.868,32.868,32.868,3.275,10.368,4.758,4.678,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
9,2638,1055200,105.52,32.868,32.868,32.868,32.868,3.381,11.965,4.652,4.585,29.014,29.014,29.014,29.014,12.257,22.65,20.451,22.65
10,949,379600,37.96,32.868,32.868,32.868,32.868,3.356,8.639,4.704,4.638,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
11,75,30000,3.0,32.868,32.868,32.868,32.868,4.006,6.791,5.091,5.085,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
12,1175,470000,47.0,32.868,32.868,32.868,32.868,2.725,8.039,4.736,4.672,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
13,67,26800,2.68,32.868,32.868,32.868,32.868,3.543,6.174,4.517,4.604,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
14,58,23200,2.32,32.868,32.868,32.868,32.868,4.081,6.555,5.06,4.95,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
15,475,190000,19.0,32.868,32.868,32.868,32.868,3.99,5.843,4.919,4.922,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
16,1391,556400,55.64,32.868,32.868,32.868,32.868,3.597,7.714,4.735,4.654,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
17,105,42000,4.2,32.868,32.868,32.868,32.868,4.548,5.948,5.003,4.884,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
18,142,56800,5.68,32.868,32.868,32.868,32.868,3.719,7.285,5.038,4.972,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
19,75,30000,3.0,32.868,32.868,32.868,32.868,4.111,5.536,4.992,4.955,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
20,185,74000,7.4,32.868,32.868,32.868,32.868,3.989,5.145,4.599,4.605,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
21,25108,10043200,1004.32,32.868,32.868,32.868,32.868,2.624,10.35,4.696,4.659,29.014,29.014,29.014,29.014,11.768,22.65,19.809,20.609
22,692,276800,27.68,32.868,32.868,32.868,32.868,4.107,6.368,4.814,4.819,29.014,29.014,29.014,29.014,20.609,22.65,22.641,22.65
23,380,152000,15.2,32.868,32.868,32.868,32.868,2.889,6.153,4.455,4.526,29.014,29.014,29.014,29.014,11.768,12.257,11.832,11.768
24,81,32400,3.24,32.868,32.868,32.868,32.868,4.55,6.385,5.108,4.954,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
25,107,42800,4.28,32.868,32.868,32.868,32.868,4.486,9.713,5.466,5.078,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
26,366,146400,14.64,32.868,32.868,32.868,32.868,3.47,7.736,4.839,4.737,29.014,29.014,29.014,29.014,11.768,20.609,18.072,20.609
27,632,252800,25.28,32.868,32.868,32.868,32.868,3.283,6.957,4.86,4.934,29.014,29.014,29.014,29.014,17.128,20.609,19.392,20.609
28,419,167600,16.76,32.868,32.868,32.868,32.868,3.272,5.748,4.718,4.782,29.014,29.014,29.014,29.014,10.787,11.768,11.571,11.768
29,196,78400,7.84,32.868,32.868,32.868,32.868,3.686,5.169,4.581,4.634,29.014,29.014,29.014,29.014,17.128,20.609,17.305,17.128
30,61,24400,2.44,32.868,32.868,32.868,32.868,3.406,5.202,4.382,4.428,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
31,1136,454400,45.44,32.868,32.868,32.868,32.868,2.68,7.706,4.206,4.149,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
32,961,384400,38.44,32.868,32.868,32.868,32.868,2.814,7.226,4.84,4.832,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
33,97,38800,3.88,32.868,32.868,32.868,32.868,3.548,5.284,4.734,4.846,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
34,200,80000,8.0,32.868,32.868,32.868,32.868,3.819,5.753,4.818,4.855,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
35,2775,1110000,111.0,32.866,32.868,32.867,32.866,2.867,6.916,4.663,4.691,29.014,29.073,29.053,29.073,13.171,17.128,14.532,13.171
36,89,35600,3.56,32.874,32.874,32.874,32.874,4.706,5.758,5.178,5.13,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
37,1375,550000,55.0,32.874,32.874,32.874,32.874,3.224,6.255,4.553,4.499,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
38,242,96800,9.68,32.874,32.874,32.874,32.874,4.123,6.608,5.142,5.1,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
39,416,166400,16.64,32.874,32.874,32.874,32.874,2.791,6.787,4.293,4.27,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
40,123,49200,4.92,32.874,32.874,32.874,32.874,2.578,8.306,4.994,4.585,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
41,53,21200,2.12,32.874,32.874,32.874,32.874,4.714,5.76,5.013,4.976,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
42,210,84000,8.4,32.894,32.894,32.894,32.894,3.469,6.657,4.558,4.543,28.846,28.846,28.846,28.846,18.898,18.898,18.898,18.898
