zone_id,original_pixel_count,extension_pixel_count,original_area_ha,extension_area_ha,merged_area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,539,184,21.56,7.36,28.92,32.915,32.915,32.915,32.915,3.13,4.927,4.145,4.152,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
2,105,58,4.2,2.32,6.52,32.915,32.915,32.915,32.915,3.02,4.851,3.857,3.788,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
3,538,166,21.52,6.64,28.16,32.915,32.915,32.915,32.915,3.094,4.988,4.071,4.109,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
4,66,54,2.64,2.16,4.8,32.915,32.915,32.915,32.915,3.236,4.796,3.894,3.823,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
5,34,33,1.36,1.32,2.68,32.889,32.889,32.889,32.889,3.853,4.971,4.358,4.308,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
6,82,80,3.28,3.2,6.48,32.889,32.889,32.889,32.889,3.55,4.962,4.038,4.036,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
7,35,35,1.4,1.4,2.8,32.889,32.889,32.889,32.889,3.344,4.758,4.041,4.036,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
8,243,105,9.72,4.2,13.92,32.889,32.889,32.889,32.889,3.049,4.94,4.056,4.118,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
9,49,50,1.96,2.0,3.96,32.889,32.889,32.889,32.889,3.451,4.951,4.076,4.079,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
10,49,33,1.96,1.32,3.28,32.889,32.889,32.889,32.889,3.533,4.67,4.012,4.031,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
11,327,88,13.08,3.52,16.6,32.889,32.889,32.889,32.889,3.03,4.923,4.076,4.177,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
12,49,12,1.96,0.48,2.44,32.889,32.889,32.889,32.889,4.121,4.804,4.389,4.382,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
13,126,19,5.04,0.76,5.8,32.889,32.889,32.889,32.889,4.324,4.781,4.522,4.453,28.926,28.926,28.926,28.926,19.211,19.211,19.211,19.211
14,91,24,3.64,0.96,4.6,32.889,32.889,32.889,32.889,4.068,4.959,4.576,4.607,28.926,28.926,28.926,28.926,16.88,19.211,17.851,16.88
15,2533,252,101.32,10.08,111.4,32.868,32.868,32.868,32.868,3.562,4.996,4.533,4.603,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
16,57,0,2.28,0.0,2.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,71,32,2.84,1.28,4.12,32.868,32.868,32.868,32.868,3.742,4.997,4.495,4.553,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
18,62,24,2.48,0.96,3.44,32.868,32.868,32.868,32.868,3.594,4.972,4.362,4.328,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
19,67,48,2.68,1.92,4.6,32.868,32.868,32.868,32.868,3.947,4.916,4.464,4.525,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
20,28,7,1.12,0.28,1.4,32.868,32.868,32.868,32.868,4.435,4.779,4.617,4.616,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
21,32,32,1.28,1.28,2.56,32.868,32.868,32.868,32.868,3.517,4.939,4.172,4.141,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
22,30,39,1.2,1.56,2.76,32.868,32.868,32.868,32.868,4.322,4.991,4.631,4.638,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
23,523,106,20.92,4.24,25.16,32.868,32.868,32.868,32.868,3.669,4.997,4.308,4.271,29.014,29.014,29.014,29.014,12.257,22.65,14.218,12.257
24,383,150,15.32,6.0,21.32,32.868,32.868,32.868,32.868,3.73,4.995,4.503,4.498,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
25,25,35,1.0,1.4,2.4,32.868,32.868,32.868,32.868,3.434,4.841,4.001,3.908,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
26,169,97,6.76,3.88,10.64,32.868,32.868,32.868,32.868,3.475,4.986,4.238,4.232,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
27,191,75,7.64,3.0,10.64,32.868,32.868,32.868,32.868,3.607,4.982,4.468,4.542,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
28,44,38,1.76,1.52,3.28,32.868,32.868,32.868,32.868,4.013,4.954,4.521,4.475,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
29,536,131,21.44,5.24,26.68,32.868,32.868,32.868,32.868,3.808,5.0,4.574,4.598,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
30,50,24,2.0,0.96,2.96,32.868,32.868,32.868,32.868,4.122,4.989,4.752,4.776,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
31,29,12,1.16,0.48,1.64,32.868,32.868,32.868,32.868,4.178,4.919,4.623,4.652,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
32,127,56,5.08,2.24,7.32,32.868,32.868,32.868,32.868,4.157,4.992,4.547,4.53,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
33,29,18,1.16,0.72,1.88,32.868,32.868,32.868,32.868,4.329,4.99,4.754,4.795,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
34,34,44,1.36,1.76,3.12,32.868,32.868,32.868,32.868,3.004,4.884,3.729,3.756,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
