zone_id,pixel_count,area_m2,area_ha
1,1901,760400,76.04
2,532,212800,21.28
3,418,167200,16.72
4,271,108400,10.84
5,2867,1146800,114.68
6,57,22800,2.28
7,109,43600,4.36
8,88,35200,3.52
9,398,159200,15.92
10,636,254400,25.44
11,587,234800,23.48
12,289,115600,11.56
13,746,298400,29.84
14,78,31200,3.12
15,197,78800,7.88
16,921,368400,36.84
17,246,98400,9.84
18,167,66800,6.68
19,1098,439200,43.92
20,357,142800,14.28
21,3909,1563600,156.36
22,114,45600,4.56
23,1229,491600,49.16
24,98,39200,3.92
25,71,28400,2.84
26,522,208800,20.88
27,1290,516000,51.6
28,59,23600,2.36
29,1069,427600,42.76
30,305,122000,12.2
31,240,96000,9.6
32,131,52400,5.24
33,93,37200,3.72
34,925,370000,37.0
35,217,86800,8.68
36,314,125600,12.56
37,149,59600,5.96
38,194,77600,7.76
39,236,94400,9.44
40,154,61600,6.16
41,95,38000,3.8
42,383,153200,15.32
43,353,141200,14.12
44,87,34800,3.48
45,366,146400,14.64
46,1601,640400,64.04
47,431,172400,17.24
48,349,139600,13.96
49,126,50400,5.04
50,82,32800,3.28
51,80,32000,3.2
