zone_id,pixel_count,area_m2,area_ha
1,1901,760400,76.04
2,70,28000,2.8
3,713,285200,28.52
4,85,34000,3.4
5,418,167200,16.72
6,63,25200,2.52
7,271,108400,10.84
8,2867,1146800,114.68
9,57,22800,2.28
10,109,43600,4.36
11,88,35200,3.52
12,398,159200,15.92
13,64,25600,2.56
14,672,268800,26.88
15,636,254400,25.44
16,66,26400,2.64
17,289,115600,11.56
18,86,34400,3.44
19,746,298400,29.84
20,78,31200,3.12
21,197,78800,7.88
22,52,20800,2.08
23,1010,404000,40.4
24,70,28000,2.8
25,246,98400,9.84
26,167,66800,6.68
27,55,22000,2.2
28,1098,439200,43.92
29,449,179600,17.96
30,4158,1663200,166.32
31,89,35600,3.56
32,114,45600,4.56
33,1229,491600,49.16
34,98,39200,3.92
35,52,20800,2.08
36,71,28400,2.84
37,705,282000,28.2
38,1630,652000,65.2
39,59,23600,2.36
40,1069,427600,42.76
41,305,122000,12.2
42,131,52400,5.24
43,93,37200,3.72
44,63,25200,2.52
45,76,30400,3.04
46,1126,450400,45.04
47,62,24800,2.48
48,217,86800,8.68
49,314,125600,12.56
50,149,59600,5.96
51,194,77600,7.76
52,60,24000,2.4
53,236,94400,9.44
54,213,85200,8.52
55,82,32800,3.28
56,95,38000,3.8
57,69,27600,2.76
58,57,22800,2.28
59,89,35600,3.56
60,148,59200,5.92
61,383,153200,15.32
62,353,141200,14.12
63,95,38000,3.8
64,90,36000,3.6
65,87,34800,3.48
66,366,146400,14.64
67,1601,640400,64.04
68,431,172400,17.24
69,349,139600,13.96
70,126,50400,5.04
71,82,32800,3.28
72,53,21200,2.12
73,80,32000,3.2
74,197,78800,7.88
75,59,23600,2.36
