frequency,depth,salinity,temp,sediment,count_pixels,year,freq_file,depth_file
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,112,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,585,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,20.0 - 25.0,119,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,no data avail,17,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,out of range,3190,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,383,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,15.0 - 20.0,402,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,20.0 - 25.0,2734,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,no data avail,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,32.5 - 33.0,no data avail,out of range,2470,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,27,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,28.5 - 29.0,20.0 - 25.0,29,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,28.5 - 29.0,no data avail,69,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,28.5 - 29.0,out of range,428,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,no data avail,no data avail,8,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,33.0 - 33.5,no data avail,out of range,185,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,no data avail,no data avail,no data avail,376,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.0 - 3.5,no data avail,no data avail,out of range,187,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,299,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,910,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,20.0 - 25.0,360,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,out of range,4088,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,771,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
1,3.5 - 4.0,32.5 - 33.0,29.0 - 29.5,15.0 - 20.0,424,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_10m.tif
