frequency,depth,salinity,temp,sediment,count_pixels,year,freq_file,depth_file
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,104,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,70,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,20.0 - 25.0,31,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,no data avail,11,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,out of range,1197,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,67,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,15.0 - 20.0,34,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,20.0 - 25.0,273,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,no data avail,no data avail,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,no data avail,out of range,2114,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,33.0 - 33.5,28.5 - 29.0,out of range,13,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,33.0 - 33.5,no data avail,no data avail,56,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,33.0 - 33.5,no data avail,out of range,126,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,no data avail,no data avail,no data avail,553,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,no data avail,no data avail,out of range,71,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,196,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,292,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,20.0 - 25.0,37,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,no data avail,17,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,out of range,2463,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,241,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,29.0 - 29.5,15.0 - 20.0,193,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
