frequency,depth,salinity,temp,sediment,count_pixels,year,freq_file,depth_file
2,3.5 - 4.0,32.5 - 33.0,no data avail,out of range,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,4.0 - 4.5,32.5 - 33.0,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,20.0 - 25.0,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,4.5 - 5.0,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,6,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,4.5 - 5.0,33.0 - 33.5,28.5 - 29.0,20.0 - 25.0,22,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,4.5 - 5.0,33.0 - 33.5,28.5 - 29.0,out of range,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,400,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,33,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,28.5 - 29.0,20.0 - 25.0,1567,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,28.5 - 29.0,5.0 - 10.0,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,28.5 - 29.0,no data avail,117,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,29.0 - 29.5,0.0 - 5.0,437,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,29.0 - 29.5,10.0 - 15.0,1430,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,29.0 - 29.5,15.0 - 20.0,392,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,29.0 - 29.5,20.0 - 25.0,87,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,29.0 - 29.5,5.0 - 10.0,219,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,29.0 - 29.5,out of range,17,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,no data avail,33.0 - 33.5,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,8,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,32.5 - 33.0,29.0 - 29.5,20.0 - 25.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,32.5 - 33.0,no data avail,out of range,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,248,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,28.5 - 29.0,20.0 - 25.0,63,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,28.5 - 29.0,5.0 - 10.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,28.5 - 29.0,no data avail,11,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,28.5 - 29.0,out of range,16,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,29.0 - 29.5,0.0 - 5.0,7,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,29.0 - 29.5,10.0 - 15.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,29.0 - 29.5,5.0 - 10.0,237,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
2,out of range,33.0 - 33.5,no data avail,out of range,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_10m_2025.tif
