file_name,pixel_size_x,pixel_size_y,pixel_area_m2,total_area_ha,area_class_0_ha,area_class_1_ha,percentage_seaweed
2023_q1,20.0,20.0,400.0,908303.2,908301.84,1.36,0.0
2023_q2,20.0,20.0,400.0,908276.64,814302.36,93974.28,10.35
2023_q3,20.0,20.0,400.0,899185.92,837895.44,61290.48,6.82
2023_q4,20.0,20.0,400.0,908303.72,870000.4,38303.32,4.22
2024_q1,20.0,20.0,400.0,908267.96,905917.72,2350.24,0.26
2024_q2,20.0,20.0,400.0,894643.12,850511.2,44131.92,4.93
2025_q1,20.0,20.0,400.0,908302.6,908302.6,0.0,0.0
2025_q2,20.0,20.0,400.0,908303.72,895915.92,12387.8,1.36
2025_q3,20.0,20.0,400.0,890304.12,883151.04,7153.08,0.8
2025_q4,20.0,20.0,400.0,908303.72,908303.32,0.4,0.0
